Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.099, 0.109, 0.122, 0.141, 0.161, 0.181312925170068, 0.197, 0.21219047619047587, 0.22653061224489765, 0.24421877551020407, 0.25720116618075806, 0.273, 0.29226394557823115, 0.313, 0.333, 0.35995408163265263, 0.39, 0.4203910204081631, 0.46, 0.515, 0.5892233866519581, 0.671, 0.7942636734693876, 0.893, 0.982, 1.0867117346938775, 1.167, 1.2222621664050233, 1.2911152073732717, 1.332, 1.383, 1.4219664723032068, 1.4677414965986395, 1.505020408163265, 1.545, 1.577, 1.6216283566058003, 1.655, 1.684, 1.715, 1.752, 1.78, 1.811, 1.839, 1.873, 1.897, 1.924, 1.949, 1.975, 2.004]",1.2,25,-2.4,2.324,2.322
3,"[0.1, 0.111, 0.123, 0.141, 0.163, 0.182, 0.19753689167974853, 0.213, 0.225, 0.243455782312925, 0.254, 0.274, 0.292, 0.314, 0.333, 0.36, 0.393, 0.426, 0.463, 0.5018540031397171, 0.5706887755102038, 0.6834047619047621, 0.815, 0.9082702040816326, 0.992, 1.088, 1.164, 1.221717887154862, 1.2853968253968249, 1.332, 1.3940759183673468, 1.418, 1.468940345368917, 1.5060387755102036, 1.537, 1.576, 1.617, 1.6556954474097332, 1.6838835034013604, 1.714, 1.75, 1.7819274376417233, 1.813, 1.839, 1.8731273469387755, 1.9010904578047434, 1.924, 1.951, 1.974, 2.005]",1.2,25,-2.4,2.323,2.322
4,"[0.099, 0.11061224489795919, 0.12527836734693878, 0.144, 0.167, 0.18407591836734696, 0.1971564625850337, 0.212, 0.227, 0.24406279434850833, 0.259, 0.27289888682745816, 0.2927170068027209, 0.313, 0.337, 0.366, 0.395, 0.432, 0.462, 0.519, 0.597, 0.708, 0.7957930029154514, 0.912, 0.9928753644314868, 1.087, 1.167, 1.233, 1.29, 1.334, 1.388, 1.417, 1.4750478967097043, 1.509, 1.5560255102040814, 1.581, 1.6242231588287488, 1.655, 1.68196768707483, 1.715, 1.754, 1.782, 1.813, 1.8379153661464585, 1.872, 1.898, 1.924, 1.949, 1.975, 2.004]",1.2,25,-2.4,2.318,2.319
5,"[0.1, 0.11, 0.123, 0.14281959183673473, 0.16223386651958074, 0.18255830903790082, 0.197, 0.21209523809523792, 0.22653061224489765, 0.243, 0.257, 0.2730795918367347, 0.293, 0.31, 0.33822857142857143, 0.358, 0.396, 0.417, 0.4653681027966741, 0.502, 0.598, 0.693, 0.8117324263038544, 0.912, 0.9958698979591835, 1.084, 1.1718741496598635, 1.232, 1.285838095238095, 1.332, 1.395189795918367, 1.435, 1.472940345368917, 1.507, 1.5497959183673469, 1.588, 1.626, 1.6563616326530612, 1.6799349786426196, 1.713691690962099, 1.7511981740064446, 1.779, 1.811404761904762, 1.837, 1.869, 1.9, 1.922365140650855, 1.949, 1.974, 2.004]",1.2,25,-2.4,2.315,2.318
6,"[0.099, 0.112, 0.126, 0.143, 0.166, 0.18187536443148686, 0.19715306122448936, 0.213, 0.23, 0.245, 0.2557208163265306, 0.274, 0.293, 0.311, 0.3353406593406594, 0.368, 0.397, 0.418, 0.4629934693877551, 0.512, 0.603, 0.702, 0.805, 0.918, 0.996, 1.0965459183673467, 1.17, 1.2341902040816326, 1.283, 1.335, 1.395, 1.4277611693325978, 1.4750110544217687, 1.509227891156462, 1.5471441737985516, 1.583942857142857, 1.625, 1.656, 1.6848820861678004, 1.7136395918367346, 1.752, 1.782, 1.812440476190476, 1.838759693877551, 1.866183673469388, 1.892, 1.9255477551020408, 1.947, 1.973, 2.005]",1.2,25,-2.4,2.315,2.317
7,"[0.099, 0.11084693877551029, 0.1254421768707479, 0.144, 0.162, 0.181, 0.19753689167974853, 0.21273015873015863, 0.225, 0.244, 0.257, 0.27354227405247766, 0.2934399092970521, 0.313, 0.3365714285714286, 0.364, 0.39745043731778423, 0.4357528344671199, 0.46, 0.5069240816326529, 0.605, 0.709, 0.805, 0.921, 1.0047113702623904, 1.0907117346938775, 1.1724370748299318, 1.238, 1.2931879699248117, 1.336, 1.398, 1.43, 1.475, 1.519020408163265, 1.544, 1.5898241758241756, 1.622, 1.657, 1.6845340136054412, 1.72, 1.75, 1.782, 1.812, 1.838, 1.868, 1.899, 1.9260397422126745, 1.9495697278911566, 1.974473469387755, 2.004]",1.2,25,-2.4,2.313,2.319
8,"[0.1, 0.113, 0.128, 0.146, 0.169, 0.184, 0.195, 0.216, 0.22694653061224498, 0.2454146938775511, 0.26, 0.2758448979591839, 0.294, 0.311, 0.337, 0.36916419294990727, 0.39866612244897953, 0.43608915145005384, 0.47, 0.524, 0.6049926530612244, 0.71, 0.838, 0.918, 1.006, 1.102, 1.177, 1.235, 1.2880238095238097, 1.336, 1.398, 1.421, 1.48, 1.5111805337519622, 1.546, 1.5909560439560437, 1.625, 1.657, 1.686, 1.7202711370262391, 1.751, 1.781477661334804, 1.812, 1.84, 1.874, 1.9011709183673469, 1.925, 1.949, 1.9756294307196562, 2.005]",1.2,25,-2.4,2.314,2.317
9,"[0.101, 0.112, 0.127, 0.144, 0.16834612244897956, 0.181, 0.199, 0.213, 0.228, 0.245, 0.26, 0.275, 0.294, 0.316, 0.3395714285714286, 0.367, 0.398, 0.4208764172335599, 0.471, 0.523, 0.609, 0.7136031746031746, 0.8136627282491942, 0.925, 0.989, 1.101, 1.171, 1.237, 1.291, 1.3364921968787515, 1.3886317254174394, 1.4205858843537413, 1.469, 1.513, 1.544, 1.587, 1.614, 1.659, 1.686, 1.717, 1.7541981740064447, 1.781, 1.812, 1.8396435860058309, 1.871, 1.9, 1.927, 1.9511394557823132, 1.974, 2.006]",1.2,25,-2.4,2.312,2.316
10,"[0.101, 0.109, 0.126, 0.144, 0.162, 0.18475510204081633, 0.19853689167974853, 0.21359523809523792, 0.2282122448979591, 0.24463718820861663, 0.256, 0.27429199372056495, 0.294, 0.314, 0.338, 0.361, 0.3986638023630503, 0.43781462585033987, 0.468, 0.5285843179377012, 0.618, 0.712, 0.812, 0.9252702040816326, 1.006, 1.096, 1.1752497570456752, 1.23, 1.292, 1.336, 1.395, 1.4370736151603498, 1.474, 1.5124955102040816, 1.5481145490454247, 1.592, 1.629, 1.659, 1.6868835034013605, 1.717, 1.752579277864992, 1.78, 1.813, 1.843, 1.867, 1.897, 1.9235404081632654, 1.95, 1.9754227405247813, 2.005]",1.2,25,-2.4,2.311,2.314
11,"[0.1, 0.112, 0.128, 0.146, 0.169, 0.181, 0.199, 0.213, 0.22814512471655274, 0.245, 0.261, 0.275, 0.295, 0.313, 0.3406493506493506, 0.3669749536178105, 0.399, 0.423, 0.472, 0.5156243794815222, 0.614, 0.714, 0.837, 0.924, 1.007, 1.090970375246873, 1.1764370748299318, 1.2362621664050233, 1.291, 1.336, 1.388, 1.4306695821185615, 1.471, 1.512, 1.55, 1.585, 1.6228527696793003, 1.659237916219119, 1.684, 1.717, 1.754, 1.7804511858797571, 1.813, 1.838, 1.867, 1.898, 1.922060408163265, 1.9491394557823132, 1.973473469387755, 2.003]",1.2,25,-2.4,2.312,2.315
