Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
2,"[0.094, 0.104, 0.1149239332096476, 0.131, 0.148, 0.17, 0.1851632653061226, 0.199, 0.214, 0.23, 0.24474530612244905, 0.26, 0.277, 0.299, 0.319, 0.3430979591836737, 0.373, 0.4010596546310835, 0.4451043083900227, 0.479, 0.535, 0.655, 0.75, 0.847, 0.961, 1.054, 1.123, 1.2083360058309038, 1.262, 1.308, 1.371, 1.413, 1.456, 1.493, 1.542295918367347, 1.579, 1.6079599125364434, 1.6427916219119232, 1.683, 1.702, 1.741, 1.766964699393271, 1.803, 1.832, 1.8588873469387757, 1.8877981049562684, 1.916, 1.943207391064534, 1.97, 1.997]",1.2,25,-2.4,2.325,2.33
3,"[0.095, 0.105, 0.116, 0.132, 0.15084653061224496, 0.171, 0.188, 0.20277142857142863, 0.217, 0.236, 0.24746477946017129, 0.2632867883995703, 0.278, 0.3, 0.321, 0.344, 0.375, 0.404, 0.437, 0.4874442700156986, 0.535, 0.637, 0.758, 0.875, 0.966, 1.073, 1.136, 1.2034525510204082, 1.2658496240601502, 1.3128762483716891, 1.3735289795918368, 1.4108318544809229, 1.463, 1.497, 1.545912536443149, 1.573, 1.613, 1.649, 1.685, 1.711, 1.744, 1.768, 1.807, 1.831, 1.861671836734694, 1.891, 1.921, 1.9451598639455776, 1.971, 2.002]",1.2,25,-2.4,2.325,2.327
4,"[0.096, 0.10654227405247797, 0.11764965986394563, 0.137, 0.156, 0.17, 0.18936734693877552, 0.20317460317460304, 0.2183639455782312, 0.236, 0.248, 0.26414625850340107, 0.2789251700680277, 0.3, 0.32, 0.346, 0.378, 0.409, 0.449, 0.488, 0.5451567346938776, 0.656, 0.775, 0.8870384153661465, 0.9697422126745433, 1.066, 1.153312925170068, 1.213, 1.2679675324675326, 1.336, 1.3796530612244895, 1.421, 1.464, 1.5, 1.555, 1.575, 1.612, 1.647, 1.6814097959183671, 1.7115810955961328, 1.743, 1.774825306122449, 1.81, 1.8382089795918366, 1.867224489795918, 1.892, 1.922, 1.946, 1.9772464678178965, 2.002]",1.2,25,-2.4,2.323,2.326
5,"[0.095, 0.106, 0.118, 0.135, 0.152, 0.172, 0.191, 0.204, 0.219, 0.235, 0.248, 0.263, 0.277, 0.303, 0.325, 0.349, 0.38, 0.411, 0.448, 0.49706947459835, 0.5420195918367349, 0.674, 0.782, 0.8856530612244898, 0.975, 1.081, 1.1385703544575725, 1.204, 1.27, 1.318, 1.3751049562682218, 1.423, 1.462, 1.498, 1.551, 1.586, 1.619, 1.65, 1.6900506122448977, 1.71, 1.75, 1.7764638218923934, 1.809, 1.838, 1.8639951020408163, 1.894, 1.922, 1.952, 1.974, 2.003]",1.2,25,-2.4,2.323,2.325
6,"[0.097, 0.107, 0.11791836734693872, 0.136, 0.15779673469387756, 0.174, 0.19145211930926193, 0.205, 0.222, 0.236, 0.24931632653061206, 0.267, 0.282, 0.305, 0.3279010989010987, 0.3539744897959182, 0.3849637188208615, 0.423, 0.454, 0.49280758017492704, 0.55, 0.6506309523809521, 0.773, 0.897, 0.977, 1.0754056122448978, 1.1631927437641723, 1.216392051557465, 1.275, 1.323, 1.38, 1.424, 1.466, 1.49976166180758, 1.551, 1.5871917293233082, 1.617290612244898, 1.6516037414965987, 1.689, 1.709, 1.747, 1.7752433281004707, 1.812, 1.84, 1.873, 1.898, 1.925, 1.953680272108842, 1.973, 2.002]",1.2,25,-2.4,2.323,2.324
7,"[0.096, 0.104, 0.11929806659505902, 0.1368389212827989, 0.15362811791383224, 0.1747551020408164, 0.189, 0.204, 0.2196389324960757, 0.2348234969663541, 0.249, 0.266, 0.281, 0.30423283858998146, 0.3247936507936509, 0.355, 0.383, 0.412, 0.457078231292517, 0.4906410018552877, 0.5562299042065807, 0.6756602316602317, 0.776, 0.8932268628381586, 0.9805746509129969, 1.0786734693877553, 1.149, 1.202, 1.274, 1.320309387755102, 1.382, 1.428, 1.466, 1.5021783029001075, 1.553, 1.5854517374517376, 1.6157022809123651, 1.652, 1.691, 1.718, 1.75, 1.776, 1.809, 1.841, 1.873, 1.899, 1.923, 1.9494263038548754, 1.9734052478134119, 2.002]",1.2,25,-2.4,2.323,2.324
8,"[0.098, 0.108, 0.121, 0.13698445092322636, 0.15474149659863937, 0.17240489795918362, 0.188, 0.20546753246753255, 0.219, 0.237, 0.25, 0.265, 0.28239115646258506, 0.30545525902668763, 0.33, 0.35, 0.38245918367346915, 0.41313971742543154, 0.457, 0.502, 0.5595204081632654, 0.6816949806949807, 0.7899115646258504, 0.885, 0.986, 1.0729044897959183, 1.153833594976452, 1.224, 1.279376623376623, 1.322, 1.3805180533751962, 1.424, 1.4692356215213358, 1.5048289601554907, 1.546, 1.589224025974026, 1.622434638720353, 1.6533588435374142, 1.68, 1.723, 1.7491808905380335, 1.781, 1.815, 1.8428963893249606, 1.8705655976676383, 1.895, 1.9219302721088434, 1.951, 1.976, 2.003]",1.2,25,-2.4,2.323,2.324
9,"[0.096, 0.108, 0.11972108843537448, 0.138, 0.15616626650660267, 0.175, 0.19, 0.204, 0.22, 0.2335635286372614, 0.24798066595059082, 0.263, 0.276, 0.304, 0.3267936507936509, 0.35424889086069217, 0.382, 0.416, 0.454, 0.496, 0.543, 0.669, 0.794, 0.887, 0.99, 1.071, 1.155, 1.206, 1.274, 1.3185949764521192, 1.382, 1.427, 1.468, 1.5023028308097433, 1.5501972789115648, 1.579, 1.6156734693877552, 1.6526016326530615, 1.6912301020408165, 1.712, 1.7510546647230323, 1.775, 1.81, 1.84, 1.865, 1.897333772218565, 1.9248129251700685, 1.9516394557823127, 1.978, 2.005]",1.2,25,-2.4,2.322,2.324
10,"[0.097, 0.106, 0.11789574090505768, 0.136, 0.15833507356430943, 0.17298250728862977, 0.19104709576138135, 0.206, 0.2230680272108844, 0.236, 0.249, 0.267, 0.281, 0.30522176870748297, 0.327, 0.3536275510204081, 0.386, 0.41670938775510197, 0.461, 0.498, 0.559, 0.658, 0.782, 0.907, 0.99, 1.0865705009276436, 1.143, 1.203, 1.2788095238095234, 1.327, 1.386, 1.429116288024644, 1.464, 1.502, 1.559, 1.583, 1.618, 1.6547510204081632, 1.684, 1.7133316326530612, 1.75, 1.783, 1.81, 1.8429529042386184, 1.874081632653061, 1.907015995587424, 1.926, 1.956, 1.974, 2.005]",1.2,25,-2.4,2.322,2.323
11,"[0.098, 0.109, 0.119, 0.137, 0.157, 0.175, 0.191, 0.206, 0.22132426303854863, 0.23531665569453578, 0.251, 0.266, 0.28, 0.3055893877551021, 0.332, 0.357, 0.383, 0.417, 0.458, 0.5071020408163263, 0.566, 0.6757669172932329, 0.803, 0.9037304421768707, 0.9917050092764378, 1.071, 1.1682891156462583, 1.221, 1.280142857142857, 1.325, 1.387, 1.427974693877551, 1.47, 1.5069009826152682, 1.558, 1.59, 1.619, 1.6546037414965988, 1.693, 1.723, 1.752, 1.782, 1.8154248120300753, 1.849, 1.875, 1.899692602040816, 1.9237212244897959, 1.954, 1.981, 2.006]",1.2,25,-2.4,2.322,2.323
12,"[0.098, 0.107, 0.12, 0.13821224489795925, 0.15734612244897955, 0.171, 0.19, 0.2045952380952383, 0.2188764769065522, 0.236, 0.24874530612244905, 0.263, 0.277, 0.30439403453689173, 0.32589075630252107, 0.35163834836260094, 0.384, 0.41605965463108346, 0.456, 0.5, 0.5662299042065806, 0.677, 0.805, 0.911, 0.992, 1.087, 1.16, 1.224, 1.278, 1.32570736769284, 1.386544217687075, 1.43, 1.47, 1.505, 1.5521479591836735, 1.5785969387755103, 1.62, 1.655, 1.693015698587127, 1.724, 1.752, 1.7798911564625859, 1.813, 1.844, 1.873, 1.898, 1.9246293614219885, 1.951, 1.9806797488226062, 2.005]",1.2,25,-2.4,2.321,2.322
13,"[0.098, 0.10863673469387745, 0.12, 0.141, 0.158, 0.17684353741496575, 0.19173250728862973, 0.205, 0.221, 0.238, 0.25, 0.265, 0.282, 0.305, 0.3279142857142857, 0.35359863945578235, 0.3859477551020409, 0.4159815354713314, 0.46, 0.5007660349854228, 0.571, 0.7070476190476187, 0.809, 0.901, 0.992, 1.093, 1.17, 1.223, 1.277, 1.325, 1.386, 1.4297891156462588, 1.473, 1.5062176870748298, 1.554, 1.589, 1.6192290249433112, 1.654, 1.6922897959183674, 1.7161126530612247, 1.753, 1.783, 1.814, 1.844, 1.872, 1.8964530612244899, 1.925, 1.955, 1.977, 2.005]",1.2,25,-2.4,2.32,2.321
14,"[0.098, 0.109, 0.12035568513119538, 0.138, 0.157, 0.175, 0.19, 0.204, 0.22, 0.237, 0.24904189044038666, 0.26429846938775525, 0.28079251700680324, 0.305, 0.32682857142857147, 0.353, 0.382, 0.413, 0.457, 0.493, 0.559, 0.706, 0.8061159554730986, 0.92, 0.993, 1.0805097959183674, 1.162, 1.209, 1.276, 1.322, 1.386, 1.4263945578231298, 1.4649346938775516, 1.502763605442177, 1.551025510204082, 1.588, 1.622, 1.654, 1.686, 1.7119117228286662, 1.749, 1.777012558869702, 1.812, 1.842, 1.8738418367346947, 1.8993574720210666, 1.925, 1.954, 1.973693877551021, 2.001]",1.2,25,-2.4,2.319,2.322
15,"[0.097, 0.107, 0.12123633969716913, 0.139, 0.1559861224489795, 0.17271892393320962, 0.191, 0.205, 0.219, 0.236, 0.249, 0.2637535321821033, 0.281, 0.304, 0.326, 0.352, 0.391, 0.424, 0.449, 0.497, 0.545, 0.671, 0.7966627282491943, 0.908, 0.9940765306122444, 1.0686337271750805, 1.16, 1.223, 1.279728110599078, 1.324, 1.3822711370262384, 1.4239573283858995, 1.468, 1.506020408163265, 1.5525459183673467, 1.582, 1.617, 1.6507755102040815, 1.681, 1.724, 1.751, 1.779, 1.8128663594470047, 1.843, 1.875, 1.901, 1.924, 1.949889455782313, 1.975910518053375, 2.006]",1.2,25,-2.4,2.32,2.323
16,"[0.096, 0.10547011661807591, 0.11993306122448988, 0.138, 0.154, 0.172, 0.19105155746509137, 0.2045952380952383, 0.22018950437317794, 0.23456352863726138, 0.25, 0.266, 0.2813299319727894, 0.302, 0.326, 0.35, 0.383, 0.422, 0.445, 0.497, 0.569469387755102, 0.6899560439560442, 0.799, 0.8926258503401362, 0.9887026239067058, 1.0802606978275182, 1.148, 1.213, 1.2747828571428572, 1.323, 1.382, 1.424, 1.4656224489795922, 1.505, 1.5550771960958296, 1.585, 1.623, 1.654, 1.685008163265306, 1.7240306122448983, 1.7521177394034542, 1.779, 1.814, 1.843, 1.871, 1.897, 1.9188129251700685, 1.9502740524781341, 1.974, 2.005]",1.2,25,-2.4,2.317,2.319
17,"[0.098, 0.10508006279434812, 0.12, 0.138, 0.154, 0.17173469387754978, 0.19132867883995697, 0.20409523809523689, 0.2199296455424275, 0.23552344180915602, 0.248, 0.266, 0.281, 0.29950235478806897, 0.327, 0.3493010204081632, 0.384, 0.415, 0.456, 0.507, 0.564319360176503, 0.6685142857142857, 0.8046496598639458, 0.8967120991253644, 0.989, 1.085, 1.147, 1.217, 1.2787657142857143, 1.321, 1.385, 1.426, 1.4657580174927116, 1.5052836734693877, 1.556064533921677, 1.585, 1.621, 1.654, 1.6871193092621664, 1.71276530612245, 1.747, 1.776, 1.811, 1.8445196232339085, 1.872, 1.899, 1.9215444371296906, 1.9544098639455785, 1.9772128279883383, 2.001]",1.2,25,-2.4,2.318,2.32
18,"[0.099, 0.10660633727175078, 0.122, 0.139, 0.15536054421768725, 0.1731224489795917, 0.189, 0.205, 0.22, 0.235, 0.249, 0.265, 0.281, 0.30414122448979597, 0.325, 0.356, 0.38512715855572976, 0.41559410430839006, 0.454, 0.491, 0.547, 0.6838742857142859, 0.798, 0.8899063079777366, 0.99, 1.086, 1.1572290249433108, 1.2156780045351476, 1.27, 1.3197617209045782, 1.384, 1.4241405895691612, 1.463177394034537, 1.4989738775510204, 1.539967776584318, 1.581, 1.618, 1.6523775510204073, 1.6854195011337867, 1.717, 1.7458596938775512, 1.777, 1.814, 1.836417233560091, 1.87, 1.898, 1.919, 1.9451598639455776, 1.9762276295133439, 2.001]",1.2,25,-2.4,2.318,2.32
19,"[0.099, 0.1064657434402332, 0.122, 0.13939403453689156, 0.1556802721088436, 0.172, 0.188, 0.204, 0.21973265306122458, 0.2333639455782312, 0.248, 0.265, 0.2766369321922318, 0.305, 0.32834586466165416, 0.35202448979591844, 0.391, 0.414, 0.4439026687598115, 0.4919812925170069, 0.56, 0.695, 0.804, 0.907, 0.973, 1.0727208163265307, 1.144, 1.22, 1.2738496240601502, 1.3234373965802537, 1.382, 1.421, 1.463, 1.502, 1.552, 1.583, 1.616607280750138, 1.65, 1.683, 1.716, 1.7437193877551023, 1.776, 1.8115057915057915, 1.836, 1.872, 1.898, 1.92, 1.947, 1.968, 2.004]",1.2,25,-2.4,2.314,2.316
20,"[0.097, 0.108, 0.121, 0.139, 0.155, 0.175, 0.188, 0.205, 0.22, 0.23641907925961086, 0.25, 0.261, 0.278, 0.3042367346938776, 0.32424175824175805, 0.354, 0.3843397959183673, 0.416, 0.46105515719801426, 0.494, 0.5880257787325458, 0.677, 0.7999115646258504, 0.9062278217409413, 0.989, 1.084534013605442, 1.1382131519274374, 1.198691326530612, 1.273, 1.321, 1.379, 1.425, 1.466, 1.503, 1.5411253644314868, 1.58, 1.618, 1.65, 1.6801012244897957, 1.718, 1.749, 1.778, 1.809, 1.8438963893249607, 1.8719863945578228, 1.893, 1.923, 1.949, 1.977, 2.002]",1.2,25,-2.4,2.315,2.317
2,"[0.016, 0.017940233236151834, 0.021710435117443146, 0.024634859349145128, 0.027071704357418628, 0.031316326530612275, 0.03446355685131194, 0.03841312741312741, 0.04353719552337069, 0.05017284464806333, 0.054872653061224526, 0.0625079977937121, 0.0722140099282958, 0.08436588921282806, 0.09714285714285725, 0.1075489795918368, 0.1206433941997855, 0.1325214493960851, 0.1470253723110866, 0.15908944854537574, 0.1699602868174298, 0.1872073732718894, 0.1993836734693879, 0.21451716141001856, 0.23043673469387768, 0.24676934029425723, 0.26971114599686064, 0.28742602040816345, 0.32603007518797, 0.36285769442912297, 0.4240884353741501, 0.47368460111317273, 0.5272448979591843, 0.5900352504638222, 0.6530959735245451, 0.6869285714285716, 0.745726420297849, 0.7989516648764777, 0.8630107411385606, 0.9090612244897964, 0.9600805585392055, 1.003929398786542, 1.0609120879120884, 1.124010204081633, 1.1780204081632655, 1.2378277551020413, 1.2926258503401369, 1.3685481049562682, 1.4236311953352772, 1.479]",4.8,25,-4.8,1.671,1.687
3,"[0.025, 0.027952040816326382, 0.029920016491445052, 0.033537731371618376, 0.03745687952600395, 0.04157248416608022, 0.04521471687266456, 0.04877142857142862, 0.05355816326530622, 0.0592360728075013, 0.06547049089906237, 0.07178102592388311, 0.08170408163265316, 0.09327158555729996, 0.10550285714285723, 0.11801654715940436, 0.13071585557299825, 0.1425092322643343, 0.15390266875981146, 0.16899064625850346, 0.1811916592724046, 0.19444805194805206, 0.21114965986394538, 0.22457823129251703, 0.24161381475667174, 0.25794844253490884, 0.2761652402896643, 0.3014525510204082, 0.33626190476190465, 0.3765359828141783, 0.4334816326530612, 0.4844843537414967, 0.5400922448979593, 0.5845533395176252, 0.6399529042386187, 0.692690476190476, 0.7505782312925174, 0.8043775510204074, 0.8526040816326526, 0.9086873469387757, 0.9568775510204084, 1.003613469387755, 1.0720829493087556, 1.1323952738990333, 1.1718839957035445, 1.237193469387755, 1.2935375510204081, 1.350213151927437, 1.409134508348794, 1.472]",4.8,25,-4.8,1.664,1.66
4,"[0.023, 0.0264141656662664, 0.029519314868804672, 0.03271865889212829, 0.03561579414374444, 0.04020510204081625, 0.04365368916797486, 0.04684555984555977, 0.05194633408919126, 0.057477405247813376, 0.06268847539015614, 0.0727613814756668, 0.08060997732426338, 0.09200322234156831, 0.10502285714285718, 0.11755102040816329, 0.12844042132982228, 0.14050298273155418, 0.15436831875607404, 0.16580797773654923, 0.1773445657332701, 0.1951326530612246, 0.20835767991407106, 0.22104940923737917, 0.2373778268063983, 0.2572978488692775, 0.2728593294460643, 0.3043025510204082, 0.3352653061224492, 0.38026799140708917, 0.4316054421768715, 0.4796054421768709, 0.5346644897959189, 0.5802138775510204, 0.6354525810324131, 0.6946581632653062, 0.7475083819241983, 0.7961132323897302, 0.8547528344671202, 0.8915836734693877, 0.9527521865889232, 0.9919911748483179, 1.0518685714285714, 1.101658431793771, 1.169544217687075, 1.2138481392557026, 1.269828231292517, 1.327639455782313, 1.3826399416909623, 1.445]",4.8,25,-4.8,1.646,1.641
5,"[0.022, 0.025387026239067037, 0.029038470560638, 0.030757308328736903, 0.0350079133694294, 0.038081632653060964, 0.04194416634578359, 0.04617346938775514, 0.051016858917480014, 0.056633902540608086, 0.061655371582595264, 0.06962606978275171, 0.08021482277121386, 0.0910809743252139, 0.10232653061224474, 0.11277218794494531, 0.12757503001200482, 0.1364179591836735, 0.15046865889212827, 0.1630184828648439, 0.174597551020408, 0.18974750830564785, 0.20274097331240185, 0.22074829931972764, 0.23246387203530056, 0.25061224489795986, 0.27316780045351485, 0.2965065597667638, 0.3258520408163265, 0.3598824489795919, 0.41861632653061226, 0.46831510204081633, 0.5183155416012558, 0.5679179236912155, 0.6379674572531717, 0.6871989795918367, 0.7416516034985423, 0.7878367346938778, 0.8499319727891148, 0.8912925170068027, 0.9429974489795917, 0.9894784580498867, 1.0537142857142858, 1.1062383673469387, 1.145988150098749, 1.2069895201323768, 1.2618321995464852, 1.309294784580499, 1.3625486194477792, 1.425]",4.8,25,-4.8,1.625,1.619
