Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,1,45,"[0.0, 22.839354875607455, 59.0161734569499, 96.67147194750362, 137.13727235007104, 179.23942060606737, 227.59358953045853, 283.88537342850134, 343.3079089381681, 403.9237907370799, 462.7344139409523, 519.5218088309481, 574.3066610226148, 626.7550878148976, 678.9881205526459, 730.801382197426, 780.5479898651105, 829.1718894718196, 875.2770588072934, 918.7335314451924, 959.9364448720072, 999.3271486804923, 1036.9480957435999, 1074.3576151277011, 1111.0818011282495, 1146.6743670100768, 1182.8900056315797, 1219.2635319335618, 1255.5961075788696, 1292.9811083673821, 1329.9777048458104, 1368.1936940604846, 1407.422284293607, 1446.9642753056983, 1487.9249463300985, 1528.8872865387857, 1570.0074918770324, 1611.2779944111026, 1651.3158130104862, 1690.3370391775638, 1728.4522948167128, 1764.7905228603527, 1799.3238929142444, 1832.592047429061, 1864.8786247901112, 1896.222223823786, 1927.2183744461072, 1957.6626344494675, 1988.0953864196658, 2016.7863078578703]","[4.1864839, 4.1832151, 4.1813645, 4.17975, 4.178607899999999, 4.177662799999999, 4.1767178, 4.1761661, 4.175457499999999, 4.1748667, 4.1745911, 4.174000299999999, 4.1737247, 4.1732521]",3303.734274973009
3,0.5,1,45,"[0.0, 30.872472486025117, 66.6709360680062, 103.86848144021417, 144.03882758877796, 186.87132249811884, 233.7936652266851, 289.87013297279145, 349.7021218422864, 409.77789739664854, 469.35523138074814, 526.6698046683739, 580.7015741095531, 634.0126917308928, 685.4299556681979, 736.2271201004169, 786.3299357903925, 835.0784908555104, 880.8476480630388, 924.378953105354, 965.2628463385929, 1004.6911856262323, 1042.6296580165945, 1079.8194961953118, 1115.948989619704, 1152.480664608227, 1188.2519099612666, 1224.5169516521917, 1261.4355757984733, 1298.352123801594, 1335.4179577040159, 1373.7067099979295, 1412.4944140812895, 1452.214278334031, 1492.9741449739881, 1533.8168099575773, 1575.242803409013, 1616.896603679305, 1657.18276449742, 1696.5234024991414, 1733.9666649731048, 1770.1629748274077, 1804.2574209497448, 1837.635422488168, 1869.9908335445712, 1901.412969595454, 1932.3607790236624, 1962.3667116364245, 1993.0682830133142, 2016.31313955546]","[4.1862473, 4.183176, 4.1814432, 4.1798682000000005, 4.1784897, 4.1775842, 4.1767178, 4.176126999999999, 4.1755757, 4.1749454, 4.1745911, 4.1739612, 4.173567299999999, 4.1733308]",3298.3505345928247
4,0.5,1,45,"[0.0, 25.40920458927667, 61.784895086325605, 98.97247776286326, 138.6003500530793, 181.66231840037244, 228.33534085108363, 283.85907323234414, 343.9306585921968, 403.43638898578547, 462.76778104293976, 519.8126169914792, 574.0728654617203, 627.1419735948398, 678.5759126013329, 728.7609121872329, 779.3980295753192, 827.6935513502012, 874.341006971357, 916.4561716132766, 957.6691199701161, 997.2842725294254, 1035.4844101770773, 1071.8345364373572, 1108.8091716477336, 1144.780340767706, 1180.9882802051216, 1216.686824138576, 1253.4986410334054, 1290.3743534246482, 1327.7724454539002, 1365.7578458046196, 1404.5478352690366, 1444.3490566455712, 1485.1562895001412, 1526.3831335662849, 1567.4675626249073, 1608.7488136310371, 1648.8282892256643, 1688.3920301643134, 1725.76284990385, 1762.1042894141965, 1796.8944787940309, 1829.520771698842, 1862.0508452835743, 1893.151092793934, 1924.2501630968045, 1954.5319005106485, 1984.9341029234743, 2002.8126836698434]","[4.1864839, 4.183176, 4.1810889, 4.1797104, 4.1784501, 4.1775842, 4.1768355, 4.1759696, 4.1753001, 4.1748276, 4.174472799999999, 4.1740398, 4.1737642, 4.1734095]",3293.496637314588
5,0.5,1,45,"[0.0, 35.923145848553304, 71.92292478428851, 109.28777210400165, 149.21385163360412, 191.17795836912808, 237.94335178538927, 292.8804078960645, 352.3225832060855, 413.1484232197042, 471.6421342506176, 529.3079353412263, 583.3585712553695, 636.3790344006725, 686.9538893484878, 738.0326701127292, 788.3037363513884, 836.4418786833837, 882.34387747302, 925.8248540863701, 966.4460244905501, 1005.3580252310837, 1043.6635713433107, 1079.8906187822788, 1116.7762075629946, 1152.0593935282045, 1188.9482880404232, 1225.2274804349495, 1260.925697833055, 1297.6305391641606, 1335.832162899363, 1373.274265852298, 1412.222010962906, 1452.3219963120891, 1492.7037199609385, 1533.592097092825, 1574.8514397755434, 1616.2860678934726, 1656.0456406697258, 1696.1102144353558, 1733.582691482843, 1769.5470975924172, 1804.2778963112314, 1837.7773871881186, 1869.4722871536192, 1900.8059983125927, 1931.6504314499093, 1962.1209155499555, 1992.0491662841328, 2016.6845949288613]","[4.1862473, 4.1833334, 4.181206700000001, 4.1796317, 4.178647, 4.1775842, 4.1767178, 4.176087399999999, 4.1753788, 4.1750245, 4.1744337, 4.1738429, 4.1735277, 4.173449]",3288.915777357722
6,0.5,1,45,"[0.0, 31.228281191132055, 67.33417251884327, 103.89494740444673, 143.76327479502345, 186.0855582984076, 232.3936109296444, 287.4095416341579, 347.2214707041371, 407.20565890505225, 466.43117153198057, 522.9964154664611, 577.9971478120996, 630.2840738509836, 682.143106542181, 731.8113133706921, 782.7192542387378, 829.8756818675141, 876.0474956832139, 919.4549736267373, 960.070088849562, 998.8327477042629, 1036.7875955323657, 1073.588045193058, 1109.9924567843123, 1145.6742062177427, 1181.9390310609906, 1217.4713389698236, 1254.2603839332114, 1290.9834985875868, 1328.278772852756, 1366.618272694524, 1405.3033419549092, 1445.2690782508207, 1485.6169696622032, 1526.932870575561, 1568.2262163072314, 1609.2848270579793, 1649.5285079727282, 1688.5066134783788, 1726.4257931653842, 1762.707627348368, 1796.9235258632075, 1830.1533680466841, 1862.387390034558, 1893.8322714445521, 1924.5141591051715, 1954.549527250117, 1984.8455825972874, 2002.295046007554]","[4.1863265, 4.1831365, 4.181206700000001, 4.1796713, 4.1782141, 4.177505, 4.1765599, 4.1762056, 4.1753001, 4.1747093, 4.174512399999999, 4.174000299999999, 4.173567299999999, 4.1732521]",3284.056697448321
7,0.5,1,45,"[0.0, 27.061167403421337, 63.39786176028656, 100.15155430299421, 139.4205484242152, 181.76571531304648, 227.97647097288234, 282.5390534526616, 341.8950443912464, 402.4471922500679, 461.1667538192978, 518.185886739968, 572.9857240939455, 625.1341777823636, 675.9829586128783, 726.7389802834907, 776.9629841591914, 824.7264534301703, 869.7345471525257, 913.0665020036786, 953.9667604910355, 992.756286069336, 1030.617287472734, 1067.284630144649, 1103.7321894273216, 1139.6449742736959, 1175.6090658757144, 1211.8237876727062, 1248.126529378761, 1284.583743618127, 1322.3175347483782, 1360.5505353377082, 1399.669857703593, 1439.1384577901013, 1479.9610125539925, 1520.5416832612364, 1562.1800273293788, 1602.9198989555516, 1643.389902518823, 1682.8800006899905, 1720.3302386541245, 1756.7847305043256, 1790.3004809492736, 1823.8118530683687, 1856.0235358066902, 1887.338038052189, 1917.9127692316488, 1948.0752876057009, 1978.4721315839333, 2001.9187672382268]","[4.1862082, 4.183176, 4.1810889, 4.179553, 4.1783714, 4.1772294, 4.1765995, 4.1758904, 4.1753392, 4.1748667, 4.1743155, 4.1740398, 4.1734095, 4.1730161]",3279.285399396296
8,0.5,1,45,"[0.0, 32.79635517312829, 69.20497293884796, 105.39599018843501, 144.61476541296304, 186.67904029194767, 232.92797369402285, 287.3901311657395, 346.494452333833, 406.52015216723714, 465.8440386052529, 522.697556135677, 577.2377711083212, 630.148642765883, 680.6730025436569, 730.8970996334937, 780.3817935045039, 828.370184341033, 874.1562192255059, 917.0789963794188, 957.7423824223259, 996.5958009710583, 1034.8976040611997, 1071.0878744613465, 1107.4131222468309, 1143.2161342444651, 1179.1519890359004, 1215.4985303403146, 1251.7915414562754, 1288.0984525783051, 1325.6689069871563, 1363.79947515921, 1402.510488065198, 1442.610365664429, 1482.876383652474, 1523.885229418258, 1565.296544553643, 1606.4615126043996, 1646.5706088700413, 1686.0798655166282, 1723.4110799050018, 1759.9391183729867, 1793.699708565181, 1827.2826592655747, 1859.2603576946449, 1890.395767607964, 1921.207423242848, 1951.3741343493261, 1981.5750660220233, 2001.0831839195412]","[4.1862082, 4.1833334, 4.1811676, 4.1795135000000005, 4.1782537, 4.1773872, 4.1764812, 4.1761661, 4.175181899999999, 4.174788, 4.1745515, 4.173803299999999, 4.1734095, 4.1731339]",3274.6548167079
9,0.5,1,45,"[0.0, 30.335122560320883, 66.15097402634524, 102.26602122334998, 141.51119847039934, 183.59367159875535, 229.66536088480757, 283.7069688141381, 343.1962088949987, 403.079086373186, 462.2365616237313, 519.2460062830584, 573.4937546352797, 626.2397885672141, 677.0303961405763, 726.6603579114254, 776.201479356774, 824.1415401028986, 869.337364645624, 912.1877600320596, 953.0209618877551, 992.0579339056764, 1029.8273527778679, 1065.9393184055612, 1102.5599626353746, 1138.4386559966824, 1173.8346898118634, 1209.893388275404, 1246.5064300535655, 1283.1801814625687, 1320.5571216016365, 1358.8457305681827, 1397.6239037796731, 1437.7222544254428, 1477.7282652345352, 1518.48506969555, 1560.7266073399414, 1600.9960777241026, 1641.9558351900987, 1680.719608232836, 1718.6698084726063, 1754.671651167102, 1789.1150390276753, 1822.0224985802092, 1854.1149352960115, 1885.382612874988, 1916.075031994606, 1946.208886469928, 1976.3369559117414, 2000.1959778235541]","[4.1862082, 4.1830578, 4.181206700000001, 4.1796713, 4.178607899999999, 4.177308099999999, 4.1765995, 4.17593, 4.175142299999999, 4.1749849, 4.174355, 4.173803299999999, 4.1735277, 4.1731339]",3270.049132938369
10,0.5,1,45,"[0.0, 35.75584737106885, 71.60464531067828, 107.50899317127391, 146.756089566661, 188.6034278195756, 233.98064357962244, 288.07551838216386, 347.14654008387936, 407.2741666304063, 467.08587440536064, 524.0853340655334, 577.4668989929995, 629.8741162087084, 680.9312960584492, 731.4046800265165, 780.1316342562317, 828.4251486777322, 873.718699973981, 916.3580481648461, 956.5392537067936, 995.8654176284018, 1033.959938057671, 1070.4088503250446, 1105.4727294480717, 1141.719920524712, 1177.4158542013888, 1213.5115820489486, 1249.8783533030082, 1286.5313849603963, 1324.5443782019279, 1362.27893424585, 1401.5433071351226, 1440.5441311744048, 1481.145564919128, 1522.0295246305468, 1563.756602581242, 1604.5472617004143, 1645.0666117339879, 1684.1138183175212, 1721.9035909809727, 1758.1065658602233, 1792.197571081173, 1825.6307042777821, 1857.6242155809227, 1888.6666675291085, 1919.3731437579659, 1949.4945830826905, 1979.6397783050343, 2001.4634814137776]","[4.1864052, 4.183176, 4.1813645, 4.1796317, 4.1783714, 4.1775842, 4.1765208, 4.175811799999999, 4.1755362, 4.1748276, 4.1744337, 4.1740398, 4.1736856, 4.173449]",3265.945905267608
11,0.5,1,45,"[0.0, 22.333553212733136, 58.721610072343765, 94.29866356987054, 133.3781070867675, 174.9353642869355, 220.30304067661916, 274.51869929656004, 333.5052461391522, 393.7379970240173, 452.69597431157047, 509.4912408742065, 564.3699600683141, 616.3795323984046, 667.3052582111626, 717.4852413329039, 766.2050121289848, 813.6065076768942, 858.7539195130836, 901.6759628318229, 942.0010268228103, 981.3693736124386, 1018.131417304107, 1054.5870401148272, 1090.758155201308, 1127.1310054495175, 1162.3811965408877, 1199.1597713066594, 1234.8819240675398, 1271.7283075330174, 1309.4409015710717, 1347.3402425456188, 1385.275831171547, 1426.0131244829681, 1465.8528977291612, 1507.598773506868, 1548.35457980692, 1589.4947892953146, 1629.8249274263117, 1669.1691033468815, 1706.597049739405, 1742.5027314400431, 1777.3457127404313, 1810.351335094529, 1842.232720417202, 1873.3428236090526, 1904.0875494552783, 1934.0939057208584, 1964.2149841815917, 1986.6476168877516]","[4.1862473, 4.1832151, 4.1810889, 4.1795135000000005, 4.1785293, 4.177662799999999, 4.1765995, 4.1760483, 4.175417899999999, 4.1749454, 4.1743155, 4.1740789, 4.173803299999999, 4.1733704]",3261.891678731282
