Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,4,25,"[0.0, 24.547053819632424, 52.888464599360645, 86.37545890442982, 132.99135640422685, 198.6305484751632, 268.7928500546835, 334.0494804832365, 396.72999095086413, 454.14595175435284, 506.6350094558318, 553.7764465829023, 597.0944571285568, 636.4465557230817, 672.5121165326657, 705.8931701856868, 736.4445214267478, 765.5812620907943, 792.6951472163416, 819.7686675198017, 846.7209299178655, 875.329550478036, 904.4239514293674, 934.4047144970614, 964.4598865657301, 995.3387757388487, 1026.2837986620586, 1057.9767917241895, 1090.0113309387752, 1123.3223913521056, 1157.244718930005, 1193.2502404060576, 1229.6237949898884, 1263.9277085127394, 1296.7447711539896, 1326.2020986245159, 1353.9729426999631, 1380.0135794036848, 1404.4306051168298, 1427.843704668782, 1451.00574832312, 1473.2179332816986, 1495.6902352025497, 1518.7904195249323, 1542.133097881681, 1566.7597770936163, 1593.084374158463, 1625.9776492241986, 1671.1856007706733, 1721.9166481724028]","[4.1956191, 4.1945167, 4.1936898000000005, 4.193177700000001, 4.1922717, 4.1916418, 4.1912875, 4.1908541, 4.1903815, 4.1897516, 4.1894364, 4.1888852, 4.1886096, 4.188333999999999, 4.1879792, 4.1877036, 4.187388899999999, 4.1873097, 4.1868372, 4.186719399999999, 4.1864042, 4.1861677, 4.1859708, 4.1856952000000005, 4.1854196, 4.1854196, 4.1851439, 4.1850653, 4.184711, 4.1844349, 4.1843958, 4.184356200000001, 4.184120200000001, 4.183805, 4.1839623, 4.1837263, 4.1835294, 4.1836081, 4.183372, 4.183372, 4.1829386, 4.1829386, 4.1828203, 4.1827416, 4.1825843, 4.1826234, 4.1824265, 4.1823874, 4.1821904000000005, 4.1821904000000005, 4.1820331, 4.1819539, 4.1821117, 4.1817966, 4.1816783, 4.1816392, 4.1814814, 4.1815996, 4.181520900000001, 4.1812844, 4.1814027000000005, 4.1811666, 4.1811666, 4.1810875, 4.1812057000000005, 4.180891, 4.1808119, 4.180733200000001, 4.1807728, 4.180733200000001, 4.1804972000000005, 4.1806941, 4.1804576, 4.1804576, 4.1803393, 4.1803789, 4.180260700000001, 4.180260700000001, 4.1803789, 4.1801424, 4.1800637, 4.179985, 4.1801424, 4.1799455000000005, 4.1799455000000005, 4.1800246, 4.1797485, 4.179827700000001, 4.1796699, 4.1797094, 4.1797094, 4.1797485, 4.1795912, 4.1795125, 4.1793942, 4.1794729, 4.1795125, 4.179315600000001, 4.1791973, 4.1794338, 4.1791582, 4.1790791, 4.1790400000000005, 4.1790400000000005, 4.1790791, 4.178843, 4.1791582, 4.1790004000000005, 4.1790791, 4.1789217, 4.178764299999999, 4.1789613, 4.1787248, 4.1786461, 4.1789613, 4.1786065, 4.1787248, 4.1786857, 4.1786065]",2486.3377514160143
3,0.5,4,25,"[0.0, 27.62610236770729, 55.610564122986034, 89.43043813970189, 136.47696616753456, 200.97431087275095, 270.7038486030482, 336.36123600218195, 399.3653597561654, 456.0931495710123, 508.6202277856139, 555.9485674803993, 599.8405610045322, 638.991818215319, 674.5170523515067, 708.1715080883168, 738.650721783182, 767.6432103395223, 795.6858963353204, 821.8824577311204, 848.8845744037505, 877.3058168073906, 906.5823790279628, 936.4491741504391, 966.9182293155966, 997.5773247740976, 1028.5091908568131, 1060.177496690513, 1092.216962761522, 1125.1490050893813, 1159.2417774654868, 1194.6814830500255, 1230.9467708599896, 1266.0533115019462, 1297.945296512816, 1328.0528673844885, 1355.8486442875194, 1381.7831891160222, 1406.2837331619482, 1429.8188294019471, 1452.3860549603055, 1475.0916874807372, 1497.416603574985, 1520.2351583689522, 1543.5836744623696, 1568.1074008290186, 1594.6673559399821, 1626.8349429450175, 1673.7946055464488, 1725.3523306072286]","[4.1957374000000005, 4.1945953000000005, 4.1938472, 4.1931381000000005, 4.1926265, 4.191957, 4.1912479, 4.1907363, 4.1904211, 4.1899486, 4.1895547, 4.1892004, 4.1887279, 4.18857, 4.188294399999999, 4.1879792, 4.187388899999999, 4.187388899999999, 4.186995, 4.1869159, 4.1864433, 4.1864042, 4.1860499, 4.1858921, 4.1858134, 4.1856952000000005, 4.1852622, 4.1850653, 4.184947, 4.1848288, 4.1846714, 4.184514, 4.1842384, 4.1842775, 4.1841989, 4.1840415, 4.1838837, 4.183805, 4.1834898, 4.1836081, 4.1834898, 4.1832142, 4.1830173, 4.1830568, 4.1829386, 4.1828995, 4.1828203, 4.1828203, 4.182505600000001, 4.1825447, 4.182466000000001, 4.1821904000000005, 4.1820331, 4.1819935, 4.1819148, 4.1817966, 4.1820331, 4.1817179, 4.1815996, 4.1817179, 4.1814814, 4.1814027000000005, 4.1814027000000005, 4.1813636, 4.1812057000000005, 4.1813636, 4.1812057000000005, 4.1810875, 4.1809697, 4.180733200000001, 4.1809301, 4.1808515, 4.1808515, 4.1805758, 4.1808515, 4.1806545, 4.1806941, 4.1805363, 4.180418, 4.1803002000000005, 4.180418, 4.180260700000001, 4.180260700000001, 4.180418, 4.1800637, 4.1803002000000005, 4.1801033, 4.1799064, 4.1799064, 4.1800637, 4.1798668, 4.179827700000001, 4.1800246, 4.179788100000001, 4.1797094, 4.1796308, 4.1796699, 4.1794338, 4.1794729, 4.1795125, 4.1795521, 4.1794338, 4.1795521, 4.179276, 4.1791973, 4.179276, 4.179315600000001, 4.1791973, 4.1792369, 4.1792369, 4.1790004000000005, 4.1791186, 4.1790004000000005, 4.1789613, 4.1789217, 4.1790004000000005, 4.1791186, 4.178843, 4.1790400000000005]",2484.281017969835
4,0.5,4,25,"[0.0, 26.5988685685071, 55.01722789180246, 88.2532595103952, 134.1016794167109, 200.17195060582412, 269.1989616764805, 335.64039182756767, 398.0739871782738, 455.4861716130896, 507.29809219381, 554.2620578615259, 598.0500298261637, 636.6843337899157, 672.750440118412, 706.336184194293, 737.0173047150653, 765.7301529898576, 793.3808638754057, 819.9235309799725, 847.1425591198141, 874.727124011761, 904.1806062490826, 934.2678268522285, 964.2902133022445, 994.8040278714287, 1026.0122726960253, 1057.438560190867, 1089.7451080917913, 1122.9924360918476, 1157.2459442613772, 1192.4301137542548, 1228.1704824940844, 1263.1770999332985, 1295.762218757597, 1325.6293634565045, 1353.019221534319, 1378.8546854815704, 1403.1048269192243, 1426.7337186279738, 1449.3789954884978, 1472.2388029604417, 1494.2083456836208, 1517.336251229704, 1540.7236093911602, 1565.2462610891407, 1591.6395251441782, 1624.1393478565137, 1671.4036111648556, 1721.857309103867]","[4.1956191, 4.1946349000000005, 4.1935716, 4.1930203, 4.1923113, 4.1917992, 4.1913662, 4.1907754, 4.1903424, 4.1899486, 4.1893973, 4.1892004, 4.188451799999999, 4.1883731, 4.1878614, 4.187546299999999, 4.1874676, 4.187192, 4.1869159, 4.1865616, 4.1864829, 4.1863256, 4.1858921, 4.1857347, 4.1853805, 4.1853805, 4.1853013, 4.185025700000001, 4.1846714, 4.1846318, 4.1845927000000005, 4.1841989, 4.1842775, 4.1841593, 4.1838446000000005, 4.1835294, 4.1836476000000005, 4.183372, 4.183569, 4.1832538, 4.183175100000001, 4.1830959000000005, 4.182781200000001, 4.1828995, 4.1828599, 4.1824265, 4.182466000000001, 4.182505600000001, 4.1824265, 4.1822691, 4.1822691, 4.1819148, 4.1821117, 4.181836100000001, 4.181836100000001, 4.181757, 4.181757, 4.181520900000001, 4.1816783, 4.1812844, 4.1812453000000005, 4.1811666, 4.181324, 4.1813636, 4.1810484, 4.1808515, 4.1810088, 4.1806941, 4.1808119, 4.180733200000001, 4.1807728, 4.1806941, 4.1806149, 4.1806941, 4.1805363, 4.1804972000000005, 4.1803393, 4.1803393, 4.1804972000000005, 4.1803002000000005, 4.1801424, 4.1800637, 4.1800637, 4.1802216, 4.179827700000001, 4.179985, 4.179985, 4.1797485, 4.179827700000001, 4.179788100000001, 4.1797485, 4.1794729, 4.1795521, 4.1795521, 4.1795521, 4.1796308, 4.1796308, 4.1794729, 4.1793551, 4.1791973, 4.179276, 4.1793551, 4.1792369, 4.179276, 4.1790400000000005, 4.179276, 4.1791582, 4.1790004000000005, 4.1790400000000005, 4.1789613, 4.1789217, 4.1789613, 4.1789613, 4.1788034, 4.1788826, 4.178764299999999, 4.178764299999999, 4.1788034, 4.178843]",2481.331364915365
5,0.5,4,25,"[0.0, 25.501077626609913, 54.03053055938358, 87.09964145934237, 134.09867752234618, 197.02148567175152, 267.6747579296872, 334.15487134933835, 396.0947999441844, 452.6454126824116, 504.5632201664887, 551.9049523602114, 595.5914711591658, 634.1161489487681, 670.0746753499766, 703.6842721450141, 734.551476618793, 763.7758317410437, 791.1562902814285, 817.6476735851077, 844.5672505761568, 872.6297452145889, 901.8771113372975, 931.6874839909533, 961.7733594109234, 992.5799095640066, 1023.6807161585855, 1054.461744379393, 1086.7313487905992, 1119.5555801127605, 1154.1504400592466, 1189.6933654861666, 1225.5200651708842, 1260.7858651356746, 1292.455904952065, 1322.1084149394983, 1350.0813686869321, 1376.204201835036, 1400.5691014777371, 1423.6563328971356, 1446.4820430575123, 1469.2153922423743, 1491.253521245635, 1514.7057841989279, 1537.8236162145686, 1561.8840531231767, 1588.8421984863176, 1621.9696674703532, 1668.2082368942488, 1718.296857987399]","[4.1956191, 4.194556200000001, 4.1937289, 4.1929808, 4.1922717, 4.1917992, 4.1914845000000005, 4.1906967, 4.1903028, 4.189908999999999, 4.1893578, 4.1890821, 4.1888065, 4.1884127, 4.188018799999999, 4.1877432, 4.1875854, 4.1872311, 4.1869159, 4.1865616, 4.1866403, 4.186286, 4.1860104, 4.1858134, 4.1854982000000005, 4.1854591, 4.1851044, 4.185025700000001, 4.184947, 4.1848288, 4.1846318, 4.1844745, 4.1842384, 4.1840415, 4.183923200000001, 4.1836867, 4.1836081, 4.1835294, 4.183372, 4.1833324, 4.1832538, 4.1830959000000005, 4.1830173, 4.1828995, 4.1827416, 4.1825843, 4.1826234, 4.1825843, 4.182230000000001, 4.1821508000000005, 4.1820722, 4.1822691, 4.1819935, 4.1819148, 4.1818752, 4.1818752, 4.1816783, 4.181836100000001, 4.1816392, 4.1814814, 4.1812844, 4.181324, 4.1812057000000005, 4.1814027000000005, 4.1810875, 4.1810088, 4.180891, 4.180733200000001, 4.1810088, 4.180733200000001, 4.1807728, 4.1806941, 4.1806941, 4.1806149, 4.1805758, 4.1804576, 4.1804576, 4.180418, 4.180182, 4.1803393, 4.1801424, 4.180182, 4.1801033, 4.180260700000001, 4.1800637, 4.1800246, 4.1799455000000005, 4.1799064, 4.1799064, 4.1799064, 4.1795912, 4.1796699, 4.1795521, 4.1797094, 4.1794729, 4.1795521, 4.1793551, 4.1794338, 4.1794729, 4.1794338, 4.1795125, 4.179315600000001, 4.1793551, 4.1791973, 4.1791973, 4.1793551, 4.1792369, 4.1789217, 4.1788826, 4.1791582, 4.1790791, 4.1790004000000005, 4.1789217, 4.178843, 4.1788034, 4.1788034, 4.1789613, 4.1788034, 4.1786857]",2478.913378760851
6,0.5,4,25,"[0.0, 27.722201999015965, 55.98985094699344, 89.58285779237451, 135.3062643556167, 199.6397645341758, 269.0716539053918, 335.84931404947554, 397.8896458190733, 453.731444503318, 506.51596799098763, 553.0493702274349, 596.4027608935131, 634.7861449236985, 670.8146627535178, 704.2287247048008, 735.3666721617523, 764.2318738706814, 792.1120728861389, 818.662715128078, 845.4223660312408, 873.5476138046723, 902.6082221391713, 932.2322381422335, 961.8736737277346, 992.6214768558467, 1023.9994788021326, 1055.146691479314, 1087.2067417228618, 1120.3042273674105, 1155.0939348082047, 1190.1653271257378, 1225.825959436857, 1260.9796259898135, 1292.8921327245207, 1323.1426314163764, 1350.6985041431121, 1376.5766594847887, 1400.852083385501, 1424.1615999515766, 1447.0392085410504, 1469.3941282992964, 1491.7825340849658, 1514.4925303392506, 1537.9656257144143, 1562.4234000895012, 1588.7103627768824, 1621.54441997613, 1667.949486919793, 1718.359607245076]","[4.1956191, 4.1946349000000005, 4.1939259, 4.1930203, 4.1925478, 4.1917992, 4.1912479, 4.1908937, 4.1903815, 4.1897907, 4.1896729, 4.188963899999999, 4.1888456, 4.1884913, 4.1881762, 4.1877036, 4.1876645, 4.187192, 4.186995, 4.186719399999999, 4.1864433, 4.1862464, 4.1858921, 4.1857347, 4.1856952000000005, 4.1856561, 4.1852622, 4.1851835, 4.184947, 4.1846714, 4.1847501000000005, 4.1845927000000005, 4.1844349, 4.1842384, 4.184080600000001, 4.184120200000001, 4.183923200000001, 4.1837263, 4.1836081, 4.1834898, 4.183411100000001, 4.1830959000000005, 4.183175100000001, 4.1829782, 4.1828995, 4.1828995, 4.1828203, 4.1826234, 4.1825843, 4.1824265, 4.1823478, 4.1821508000000005, 4.1820331, 4.1821117, 4.1819935, 4.1819539, 4.1818752, 4.1815996, 4.1817179, 4.1814423, 4.181520900000001, 4.1814423, 4.1811666, 4.1812844, 4.1813636, 4.1812057000000005, 4.1809301, 4.1811271, 4.1809301, 4.1809697, 4.180891, 4.1808119, 4.1806941, 4.1806941, 4.1804576, 4.1803789, 4.1804972000000005, 4.1805758, 4.1804576, 4.1803393, 4.1803393, 4.1803002000000005, 4.1802216, 4.1803393, 4.1800637, 4.1801424, 4.179985, 4.1800637, 4.1799455000000005, 4.1800246, 4.179985, 4.179827700000001, 4.1798668, 4.1798668, 4.179788100000001, 4.1796308, 4.1796308, 4.1795521, 4.1795521, 4.1795125, 4.1797094, 4.1794338, 4.1794338, 4.1793551, 4.1792369, 4.1793551, 4.1791582, 4.1792369, 4.179315600000001, 4.1791186, 4.1792369, 4.1790791, 4.1791186, 4.1791186, 4.1791582, 4.1790004000000005, 4.1789217, 4.1790791, 4.178843]",2476.613918813477
7,0.5,4,25,"[0.0, 27.107096413275144, 55.21012034771752, 88.07997530090017, 134.5976775375251, 197.79637863610435, 268.198612917049, 333.9205156670208, 395.68918452920104, 452.7978419278734, 504.293738478533, 551.7818432261579, 594.7146682020568, 633.8293463770397, 669.2393224571508, 702.5137576749041, 733.5609236174312, 762.6798032262252, 790.258744122842, 816.5006545193837, 843.5987671595392, 871.5695364595515, 900.3746430398378, 930.3864964076024, 960.1269873469334, 990.7539909068519, 1021.6696211999476, 1052.6527197087473, 1084.9926777734838, 1117.9847811586467, 1151.7370567182768, 1186.9928971499162, 1223.538726625544, 1258.4223281512352, 1290.2392783519438, 1320.3028096640467, 1347.4955161708044, 1373.5998562875511, 1398.1797943081228, 1421.4275798430212, 1444.298955295471, 1466.509613241294, 1488.9116098304698, 1511.6293014612306, 1535.0287868087103, 1559.6875474262492, 1586.0496235862365, 1619.030681441589, 1665.038269079148, 1714.970351300387]","[4.1957374000000005, 4.1945953000000005, 4.1939259, 4.192941200000001, 4.1922717, 4.1917992, 4.1910906, 4.190932800000001, 4.1903424, 4.1897516, 4.189593799999999, 4.1890426, 4.1886883, 4.188451799999999, 4.1880975, 4.1879005, 4.1875854, 4.1871524, 4.186876799999999, 4.1865616, 4.1864042, 4.1863256, 4.1860104, 4.1858921, 4.1856561, 4.1854982000000005, 4.1852226, 4.1850653, 4.1849079, 4.1847897000000005, 4.1847897000000005, 4.1844349, 4.1843171, 4.1840019, 4.1839623, 4.1838446000000005, 4.1835294, 4.1836081, 4.183411100000001, 4.183175100000001, 4.183135500000001, 4.183175100000001, 4.1830568, 4.1828599, 4.182781200000001, 4.1828203, 4.182781200000001, 4.1825447, 4.182505600000001, 4.182230000000001, 4.1822691, 4.1820331, 4.1819935, 4.1820331, 4.1817179, 4.1816783, 4.1817179, 4.1815996, 4.1816392, 4.1816392, 4.181560500000001, 4.1814027000000005, 4.1811666, 4.1811666, 4.1811666, 4.1810875, 4.1810484, 4.1809301, 4.1808119, 4.1806545, 4.1806545, 4.1806545, 4.1806545, 4.1806941, 4.1806545, 4.1804576, 4.1804576, 4.180260700000001, 4.1803393, 4.180418, 4.180260700000001, 4.180260700000001, 4.179985, 4.180182, 4.1800246, 4.1798668, 4.179827700000001, 4.1799064, 4.1799455000000005, 4.1798668, 4.1796308, 4.1797094, 4.1796699, 4.1795521, 4.1795125, 4.1793551, 4.1794729, 4.1793551, 4.1793942, 4.1793551, 4.1794729, 4.1791973, 4.1791973, 4.1794338, 4.1791186, 4.1792369, 4.1791186, 4.1789613, 4.1792369, 4.1791186, 4.1789217, 4.1789613, 4.1789613, 4.1788034, 4.1788034, 4.1788826, 4.178843, 4.1786461, 4.178764299999999]",2473.994090180665
8,0.5,4,25,"[0.0, 25.716642871479166, 54.18505009464138, 87.65347107534865, 132.3523399396446, 196.75846454435168, 266.1173440680484, 332.23657841109446, 393.56915740724116, 450.12515995136005, 502.0295459512589, 549.0268589999688, 591.9340354219083, 630.7223177034288, 667.3345601442921, 700.4587074472398, 731.3321350062143, 760.4578699603743, 787.5284259069182, 814.6002710883907, 841.274059743548, 868.924688054111, 897.4550247912215, 927.6278133103878, 957.7256067616776, 987.9020454477931, 1019.1493874074503, 1050.2308649423017, 1082.1256355369114, 1115.7130475876597, 1149.6567043172272, 1184.6733198786687, 1220.6376908152456, 1255.2595526274622, 1287.7547740109208, 1317.403578245157, 1344.8898190074515, 1370.4605707858468, 1394.8704291002568, 1418.5950712312315, 1441.5373333518005, 1463.867504793082, 1486.0453592718754, 1509.0882976173698, 1532.3412747514112, 1556.4551494237976, 1582.9210839527277, 1615.7100701910372, 1662.566744972668, 1711.5009024499532]","[4.195816000000001, 4.194556200000001, 4.1936898000000005, 4.192941200000001, 4.1923509, 4.1915236, 4.1910906, 4.1906571, 4.1902633, 4.1897516, 4.189279099999999, 4.1890426, 4.1885309, 4.188294399999999, 4.1879792, 4.187546299999999, 4.187349299999999, 4.1870341, 4.1869555, 4.1866012, 4.1863256, 4.1861677, 4.185853, 4.1856952000000005, 4.1852226, 4.1851835, 4.1850653, 4.185025700000001, 4.1845927000000005, 4.1846714, 4.184356200000001, 4.184356200000001, 4.184120200000001, 4.1839623, 4.1837263, 4.1836081, 4.1836867, 4.183569, 4.1832538, 4.183135500000001, 4.1830568, 4.1829386, 4.1828995, 4.1827025, 4.182663, 4.182663, 4.182466000000001, 4.1823087, 4.1821904000000005, 4.182230000000001, 4.1820722, 4.1820331, 4.1818752, 4.1818752, 4.181757, 4.181757, 4.1814423, 4.1814423, 4.181560500000001, 4.1813636, 4.1812844, 4.1812453000000005, 4.1810088, 4.1812057000000005, 4.1810875, 4.1808515, 4.1809301, 4.1808515, 4.1806941, 4.1806941, 4.180733200000001, 4.1805363, 4.1803789, 4.1803789, 4.1803789, 4.1804972000000005, 4.1803002000000005, 4.1803789, 4.180260700000001, 4.1801424, 4.1801033, 4.1798668, 4.1799455000000005, 4.1799455000000005, 4.1801033, 4.1798668, 4.1798668, 4.1797094, 4.1798668, 4.1795912, 4.1795521, 4.1795912, 4.1796699, 4.1796699, 4.1794729, 4.1794338, 4.1793551, 4.1793942, 4.1791973, 4.179276, 4.1791186, 4.179315600000001, 4.1790004000000005, 4.1791582, 4.1790791, 4.1789613, 4.1790791, 4.1790400000000005, 4.178764299999999, 4.178764299999999, 4.178764299999999, 4.1790004000000005, 4.1786857, 4.1786461, 4.178843, 4.1784887, 4.1786461, 4.1787248, 4.1786065]",2471.413757732747
9,0.5,4,25,"[0.0, 28.24013789548303, 56.93859662587067, 89.5231810144561, 134.20935079050582, 197.78778955591986, 267.5167888921226, 334.0781941809952, 395.9018551540013, 452.3853758088069, 504.5374586215172, 551.0580766941788, 593.1598432390114, 632.0824625985352, 668.2424203816526, 701.3398386831672, 732.4675302558472, 761.9277118890853, 789.4046242789328, 815.9755364067424, 842.8698064659565, 870.3159932853645, 899.3413023245897, 928.9375639383971, 959.4064301761208, 989.6507704171662, 1020.0012465776068, 1051.6342801420938, 1084.0353827969857, 1116.3570407299167, 1151.2495232524147, 1186.0178659895341, 1221.6508792950517, 1256.60712725038, 1289.3339559227966, 1318.6052683925654, 1346.2338873537692, 1372.152067723569, 1396.1306659513134, 1419.8328762328192, 1442.439429375319, 1464.969948612836, 1487.1641623318515, 1510.182496214617, 1533.1269014015697, 1557.8005408857348, 1584.4344496260437, 1617.4728431342237, 1662.273764956888, 1711.5046579775671]","[4.1956587, 4.194438, 4.1936502, 4.1930594, 4.1922326000000005, 4.1916814, 4.191208799999999, 4.1906967, 4.190184599999999, 4.189712, 4.189476, 4.1888852, 4.1887279, 4.188333999999999, 4.188018799999999, 4.1876645, 4.187388899999999, 4.1871524, 4.1869555, 4.1865616, 4.1861286, 4.1861286, 4.1859317, 4.1859317, 4.1853013, 4.1853013, 4.1850653, 4.1848683, 4.1847501000000005, 4.1845927000000005, 4.1843958, 4.1842384, 4.184080600000001, 4.1840019, 4.1838837, 4.1836476000000005, 4.1836081, 4.1835294, 4.1832538, 4.183175100000001, 4.183135500000001, 4.1830568, 4.1828203, 4.182781200000001, 4.1827416, 4.182466000000001, 4.1822691, 4.1823087, 4.1821904000000005, 4.1823087, 4.1820331, 4.1821904000000005, 4.1818752, 4.181836100000001, 4.1816392, 4.181560500000001, 4.1814027000000005, 4.1814423, 4.1816783, 4.181324, 4.1812057000000005, 4.1812453000000005, 4.1809301, 4.1809301, 4.1809697, 4.1806941, 4.1807728, 4.180733200000001, 4.1804972000000005, 4.1806545, 4.1806545, 4.1804576, 4.1803789, 4.1804576, 4.1803002000000005, 4.1803789, 4.1802216, 4.1801424, 4.1799455000000005, 4.179985, 4.179985, 4.1800246, 4.1800246, 4.1799064, 4.1796699, 4.1799064, 4.1797094, 4.1796699, 4.1795912, 4.1796308, 4.1793942, 4.1793942, 4.1795521, 4.1793942, 4.1791186, 4.1793551, 4.1791973, 4.1791973, 4.179276, 4.1791186, 4.1790004000000005, 4.1791582, 4.1789217, 4.1790004000000005, 4.1789217, 4.178843, 4.1788826, 4.1787248, 4.1787248, 4.1788826, 4.1788034, 4.1786065, 4.1787248, 4.1787248, 4.1785674, 4.1784492, 4.1784887, 4.1786461, 4.1786461]",2469.327540506185
10,0.5,4,25,"[0.0, 27.4125636508802, 55.413743347934314, 88.59238786439732, 133.47637286816735, 197.24426155737387, 266.04904004903267, 332.0396093636127, 394.5083244636396, 450.31815964296254, 502.6183017811675, 549.2067681838506, 591.0930159904439, 630.713392210681, 665.9610979024327, 699.3453441736705, 730.3782753854688, 759.8510027691112, 787.2841309080169, 814.0461268374805, 841.0216311395137, 868.7477583895021, 897.3136038462122, 926.6780216476251, 956.6176445203606, 987.4576133992704, 1017.7731341669788, 1049.30547190595, 1081.1365876303298, 1114.1176823140254, 1148.23549829782, 1183.7832103596534, 1219.142637114849, 1253.8850958742319, 1286.1965718902848, 1315.9895650339017, 1343.8386626151591, 1369.329172093318, 1393.3985139618876, 1417.0926912758414, 1439.8299044828823, 1462.2541142958812, 1484.729818903072, 1507.320867659189, 1530.709895256096, 1555.1632765277259, 1581.3713601095687, 1614.1452238985376, 1659.8188840853531, 1707.954753767906]","[4.1955404000000005, 4.194674, 4.193532, 4.1928625, 4.1924295, 4.1917992, 4.1910906, 4.1908937, 4.1903424, 4.1898303, 4.1893182, 4.1891608, 4.1888065, 4.188333999999999, 4.187782299999999, 4.187821899999999, 4.187192, 4.1871128, 4.186995, 4.1864829, 4.1863256, 4.1861677, 4.1859317, 4.185853, 4.1855378, 4.1854982000000005, 4.1849079, 4.184711, 4.184514, 4.1845531000000005, 4.1843958, 4.1842775, 4.184080600000001, 4.1839623, 4.1840019, 4.1838837, 4.183450700000001, 4.183411100000001, 4.183372, 4.1832929, 4.183135500000001, 4.1830959000000005, 4.1828203, 4.1827416, 4.182663, 4.182466000000001, 4.1825447, 4.1823874, 4.1824265, 4.1821117, 4.1820331, 4.1821117, 4.1819935, 4.1815996, 4.1817179, 4.181520900000001, 4.181324, 4.1814814, 4.1813636, 4.1812844, 4.1812844, 4.1810484, 4.1810484, 4.1810484, 4.1808515, 4.1810484, 4.180891, 4.1808515, 4.180891, 4.1805758, 4.1803789, 4.1804972000000005, 4.1804576, 4.1804972000000005, 4.180260700000001, 4.1805363, 4.1803789, 4.180260700000001, 4.1799455000000005, 4.1799064, 4.1799455000000005, 4.1800246, 4.1798668, 4.1800246, 4.179985, 4.1798668, 4.1796699, 4.1798668, 4.1797485, 4.1795912, 4.1795912, 4.1795125, 4.1795125, 4.1795125, 4.179276, 4.1793942, 4.1793551, 4.1790400000000005, 4.1793942, 4.1791186, 4.1790400000000005, 4.1791973, 4.1789613, 4.178843, 4.1790791, 4.1790004000000005, 4.1791973, 4.1788826, 4.1789217, 4.1788826, 4.1786857, 4.1787248, 4.178764299999999, 4.1788034, 4.1786857, 4.1784887, 4.1785674, 4.1786857, 4.1786065]",2467.220689733074
11,0.5,4,25,"[0.0, 26.27550264543379, 54.77947063334136, 87.73355164117788, 132.06675222839158, 195.0921824511246, 265.2647859775043, 330.7938290847268, 392.7163511362369, 448.5309873143649, 499.7233749119421, 546.8037363934634, 589.7825489167703, 628.9730487587119, 663.9049885264835, 697.7594006295697, 728.5579655280455, 757.7023404300869, 785.1082913665214, 812.4388306474323, 838.6411823392534, 866.2202059121846, 894.9206195467541, 924.39512998484, 954.3910177617015, 984.4899096288921, 1015.9213983838929, 1047.0121082997337, 1078.9963648654248, 1112.20952875615, 1145.5408435224779, 1180.7793196746168, 1216.7153880759188, 1251.3851883078812, 1283.8416457024891, 1313.8472740890293, 1340.9116691835495, 1366.977821883585, 1391.0362688844102, 1414.4149537031851, 1437.2272414692993, 1459.5309136004419, 1482.1679022825188, 1504.5568828503192, 1527.9214443980322, 1552.347701862684, 1578.6619846006547, 1611.5217599180924, 1657.0111020803583, 1708.0734997944478]","[4.195816000000001, 4.1945167, 4.1936502, 4.192941200000001, 4.1922717, 4.1917205, 4.1912875, 4.1908541, 4.1903424, 4.1896729, 4.189476, 4.1890035, 4.18857, 4.188294399999999, 4.1878614, 4.1875854, 4.187388899999999, 4.1870341, 4.186995, 4.1866012, 4.1864042, 4.186089, 4.1860104, 4.1855769, 4.1854982000000005, 4.1853409, 4.1851044, 4.1849079, 4.1848288, 4.184711, 4.1844349, 4.1842775, 4.184080600000001, 4.1837654, 4.1837263, 4.1836867, 4.183569, 4.183411100000001, 4.1832929, 4.1832538, 4.1832142, 4.1830959000000005, 4.1827416, 4.1825447, 4.182781200000001, 4.182505600000001, 4.1823087, 4.1823478, 4.1821508000000005, 4.1821904000000005, 4.1820722, 4.1819935, 4.1817179, 4.181836100000001, 4.1817179, 4.181520900000001, 4.1814814, 4.1814027000000005, 4.1814814, 4.1814027000000005, 4.1811271, 4.1812453000000005, 4.1809697, 4.1809697, 4.1809301, 4.180891, 4.1808119, 4.180733200000001, 4.1807728, 4.1806545, 4.1804972000000005, 4.180418, 4.1803002000000005, 4.180418, 4.180182, 4.180182, 4.180418, 4.1803789, 4.1801033, 4.180260700000001, 4.1799064, 4.179985, 4.1800246, 4.1799064, 4.1799455000000005, 4.1795912, 4.1798668, 4.1798668, 4.179788100000001, 4.1797094, 4.1796699, 4.1794729, 4.1793942, 4.1795125, 4.179315600000001, 4.1792369, 4.1794729, 4.1791973, 4.1791973, 4.1791582, 4.1790400000000005, 4.1790400000000005, 4.1791582, 4.1789217, 4.1790791, 4.178843, 4.1789613, 4.178764299999999, 4.1788034, 4.1789613, 4.1786857, 4.1787248, 4.178843, 4.178410100000001, 4.1786065, 4.1784887, 4.1785674, 4.1786065, 4.1784887]",2465.229041341147
