battery_id,window_start,cycle_index,degradation_stage,fusion_gate,router_weight_l1,statistical_route_entropy,curve_route_entropy,fused_route_entropy,expert_1_fused_weight,expert_2_fused_weight,expert_3_fused_weight,expert_4_fused_weight,expert_5_fused_weight
#5,0,2,early,0.7385388612747192,0.6337085366249084,1.4584832191467285,1.382860779762268,1.486182451248169,0.24042968451976776,0.20174983143806458,0.27167123556137085,0.250041127204895,0.03610813245177269
#5,1,3,early,0.7335644960403442,0.9472053050994873,1.3929858207702637,1.384174108505249,1.5895161628723145,0.22853004932403564,0.20262864232063293,0.22508926689624786,0.21756751835346222,0.12618455290794373
#5,2,4,early,0.7300138473510742,1.187530279159546,1.2247495651245117,1.3837933540344238,1.6031978130340576,0.22442178428173065,0.1949360966682434,0.20917445421218872,0.21115928888320923,0.1603083610534668
#5,3,5,early,0.7311581969261169,1.134014368057251,1.2675296068191528,1.3840720653533936,1.6012358665466309,0.22240132093429565,0.19923557341098785,0.21253424882888794,0.21339362859725952,0.15243522822856903
#5,4,6,early,0.7298072576522827,1.340714693069458,1.081336498260498,1.384521484375,1.6076314449310303,0.21409660577774048,0.20462122559547424,0.1917366087436676,0.20841988921165466,0.1811256855726242
#5,5,7,early,0.7305413484573364,1.3097869157791138,1.1113749742507935,1.3843395709991455,1.6071016788482666,0.21703855693340302,0.19612336158752441,0.2033275067806244,0.2070438414812088,0.176466703414917
#5,6,8,early,0.7291570901870728,1.3828964233398438,1.0313583612442017,1.3837976455688477,1.6079933643341064,0.2122158408164978,0.2024737000465393,0.18769212067127228,0.21034446358680725,0.18727384507656097
#5,7,9,middle,0.7255703806877136,1.5276706218719482,0.8627709150314331,1.3839191198349,1.60819673538208,0.20947232842445374,0.19237636029720306,0.18461735546588898,0.20391491055488586,0.20961904525756836
#5,8,10,middle,0.7273070812225342,1.4961681365966797,0.8974654674530029,1.384014368057251,1.608461618423462,0.20598649978637695,0.19893090426921844,0.18347673118114471,0.2076086699962616,0.20399722456932068
#5,9,11,middle,0.727168083190918,1.5705342292785645,0.8028202056884766,1.3846392631530762,1.608039140701294,0.20100782811641693,0.19802752137184143,0.18199999630451202,0.2047186940908432,0.21424594521522522
#5,10,12,middle,0.7246713638305664,1.74989652633667,0.5383424758911133,1.3850698471069336,1.6038696765899658,0.19335909187793732,0.1885250061750412,0.1785481721162796,0.19866943359375,0.24089832603931427
#5,11,13,middle,0.721729040145874,1.8516631126403809,0.35879287123680115,1.3852616548538208,1.5991779565811157,0.18659286201000214,0.18234512209892273,0.17715170979499817,0.19627828896045685,0.2576320469379425
#5,12,14,middle,0.7204397916793823,1.7795848846435547,0.48916491866111755,1.3849377632141113,1.6017879247665405,0.19173765182495117,0.18416929244995117,0.17754366993904114,0.19779880344867706,0.24875056743621826
#5,13,15,late,0.71938157081604,1.8455456495285034,0.37005478143692017,1.3848810195922852,1.5985770225524902,0.18760594725608826,0.17968693375587463,0.17647519707679749,0.19728484749794006,0.25894707441329956
#5,14,16,late,0.7188493013381958,1.8398430347442627,0.3815617859363556,1.3851332664489746,1.5988458395004272,0.18953664600849152,0.17974020540714264,0.1774960458278656,0.1945905238389969,0.25863656401634216
#5,15,17,late,0.7173183560371399,1.8923377990722656,0.27888259291648865,1.3852043151855469,1.595690369606018,0.18696682155132294,0.17482155561447144,0.17815233767032623,0.1925947368144989,0.2674645483493805
#5,16,18,late,0.7156609296798706,1.8742554187774658,0.3164129853248596,1.3850440979003906,1.5960057973861694,0.1897217035293579,0.17379958927631378,0.17856864631175995,0.19144803285598755,0.2664620280265808
#5,17,19,late,0.7145971059799194,1.8928824663162231,0.27787190675735474,1.3848848342895508,1.5944968461990356,0.1897682398557663,0.17146381735801697,0.17811469733715057,0.19053614139556885,0.2701170742511749
#5,18,20,late,0.715668261051178,1.824075698852539,0.41196611523628235,1.3846222162246704,1.598369836807251,0.19210666418075562,0.17632433772087097,0.17721371352672577,0.1950339823961258,0.25932133197784424
#8,0,2,early,0.72362220287323,1.64582359790802,0.6994277238845825,1.3838309049606323,1.6045584678649902,0.2151573896408081,0.18541784584522247,0.19941218197345734,0.17257799208164215,0.22743454575538635
#8,1,3,early,0.7215952277183533,1.7669636011123657,0.5139430165290833,1.38499116897583,1.601858139038086,0.20323027670383453,0.18329092860221863,0.19390472769737244,0.17360852658748627,0.24596552550792694
#8,2,4,early,0.7202032208442688,1.8563951253890991,0.3543083667755127,1.3854649066925049,1.5983068943023682,0.19371595978736877,0.18180173635482788,0.1913493126630783,0.1734263002872467,0.25970667600631714
#8,3,5,early,0.7175152897834778,1.9073917865753174,0.24823108315467834,1.3843655586242676,1.5939712524414062,0.19430318474769592,0.17398807406425476,0.19412484765052795,0.16817936301231384,0.26940450072288513
#8,4,6,early,0.717940628528595,1.9024598598480225,0.26021963357925415,1.3852031230926514,1.5950785875320435,0.18996627628803253,0.17993906140327454,0.19174756109714508,0.1700437217950821,0.2683033347129822
#8,5,7,early,0.7218995094299316,1.8972148895263672,0.271645188331604,1.3850462436676025,1.5966496467590332,0.18946573138237,0.18410038948059082,0.19343937933444977,0.1691862940788269,0.2638082206249237
#8,6,8,early,0.7144152522087097,1.9679090976715088,0.10343878716230392,1.3846242427825928,1.5894498825073242,0.18299831449985504,0.17492564022541046,0.1945716291666031,0.16650204360485077,0.281002402305603
#8,7,9,middle,0.7162288427352905,1.9465017318725586,0.15888381004333496,1.3850175142288208,1.5918136835098267,0.18537016212940216,0.17745822668075562,0.19276216626167297,0.16822892427444458,0.27618053555488586
#8,8,10,middle,0.714535117149353,1.9603921175003052,0.12334895133972168,1.3843247890472412,1.589750051498413,0.18552307784557343,0.1742178201675415,0.19516626000404358,0.1652812659740448,0.2798115611076355
#8,9,11,middle,0.7117722630500793,1.9747544527053833,0.08432841300964355,1.3843498229980469,1.587621808052063,0.1837431937456131,0.1701032817363739,0.194741889834404,0.166822150349617,0.2845894992351532
#8,10,12,middle,0.7162474989891052,1.9411678314208984,0.1721002161502838,1.384811520576477,1.5920031070709229,0.18471215665340424,0.18020403385162354,0.19332870841026306,0.16634951531887054,0.2754055857658386
#8,11,13,middle,0.7103446125984192,1.971853256225586,0.09257730841636658,1.3851358890533447,1.5877289772033691,0.18185587227344513,0.1706988513469696,0.19114819169044495,0.17071807384490967,0.28557896614074707
#8,12,14,middle,0.7136742472648621,1.959378719329834,0.1264626383781433,1.3851102590560913,1.590023398399353,0.1821465641260147,0.1771247833967209,0.1921079158782959,0.1681104302406311,0.280510276556015
#8,13,15,late,0.7133973240852356,1.9797983169555664,0.06980495154857635,1.3843120336532593,1.5880094766616821,0.18019655346870422,0.17442327737808228,0.19628770649433136,0.1653846651315689,0.28370776772499084
#8,14,16,late,0.7124661803245544,1.9808162450790405,0.06678196787834167,1.384178876876831,1.5874230861663818,0.17963922023773193,0.17446470260620117,0.19658082723617554,0.1645394116640091,0.28477582335472107
#8,15,17,late,0.7134146690368652,1.9737956523895264,0.0874304324388504,1.3848308324813843,1.588789939880371,0.17758218944072723,0.17936939001083374,0.19360977411270142,0.16660813987255096,0.28283044695854187
#8,16,18,late,0.7130160331726074,1.9829496145248413,0.06048760563135147,1.3839256763458252,1.5873537063598633,0.17844843864440918,0.1768943816423416,0.1973172426223755,0.1628025621175766,0.28453734517097473
#8,17,19,late,0.7138728499412537,1.9660251140594482,0.10874344408512115,1.384718656539917,1.5894122123718262,0.1804824322462082,0.17854860424995422,0.1939343959093094,0.16576798260211945,0.28126657009124756
#8,18,20,late,0.7097896933555603,1.9832345247268677,0.05951835960149765,1.3843839168548584,1.5861551761627197,0.17910340428352356,0.17204701900482178,0.1952735036611557,0.16579850018024445,0.28777754306793213
#11,0,2,early,0.7318531274795532,0.9160372018814087,1.439937949180603,1.3825160264968872,1.5591156482696533,0.23595145344734192,0.20302000641822815,0.22143009305000305,0.2518223524093628,0.08777611702680588
