battery_id,window_start,cycle_index,degradation_stage,fusion_gate,router_weight_l1,statistical_route_entropy,curve_route_entropy,fused_route_entropy,expert_1_fused_weight,expert_2_fused_weight,expert_3_fused_weight,expert_4_fused_weight,expert_5_fused_weight
#5,0,2,early,0.6758755445480347,1.0755198001861572,1.3504940271377563,1.3740185499191284,1.5938149690628052,0.1358938068151474,0.2059982568025589,0.23009295761585236,0.20071832835674286,0.2272966057062149
#5,1,3,early,0.6757203936576843,0.9918227791786194,1.390487551689148,1.380956768989563,1.5892550945281982,0.23930475115776062,0.21998068690299988,0.22672376036643982,0.1816328912973404,0.1323578804731369
#5,2,4,early,0.6717427968978882,0.9016323089599609,1.42332124710083,1.3813579082489014,1.5909535884857178,0.2320757508277893,0.226265087723732,0.22663837671279907,0.1790020763874054,0.13601867854595184
#5,3,5,early,0.6760362386703491,0.9663323163986206,1.3551384210586548,1.3831958770751953,1.599635362625122,0.2263830155134201,0.21682682633399963,0.22173026204109192,0.17853160202503204,0.1565283238887787
#5,4,6,early,0.6745193600654602,0.9396933317184448,1.381708025932312,1.3828073740005493,1.597214937210083,0.23172998428344727,0.22114713490009308,0.22002257406711578,0.17417429387569427,0.1529259830713272
#5,5,7,early,0.6721401214599609,0.9921817779541016,1.363752841949463,1.3841638565063477,1.600156545639038,0.2018146514892578,0.21656201779842377,0.2399131804704666,0.17906183004379272,0.1626483052968979
#5,6,8,early,0.6722508668899536,0.6336894035339355,1.4310047626495361,1.3808845281600952,1.4732539653778076,0.2381403148174286,0.22742366790771484,0.21838286519050598,0.029673375189304352,0.28637972474098206
#5,7,9,middle,0.6701589226722717,0.8830626010894775,1.4147474765777588,1.3810555934906006,1.592592716217041,0.2062588632106781,0.22602185606956482,0.24758097529411316,0.1745031476020813,0.14563515782356262
#5,8,10,middle,0.6721891760826111,0.920090913772583,1.4169539213180542,1.3806804418563843,1.5952706336975098,0.23776592314243317,0.22421476244926453,0.21589960157871246,0.17131179571151733,0.15080787241458893
#5,9,11,middle,0.6723880171775818,0.9265069365501404,1.412623405456543,1.3807966709136963,1.5951788425445557,0.24031251668930054,0.22244605422019958,0.21515434980392456,0.17031972110271454,0.15176740288734436
#5,10,12,middle,0.6695606112480164,0.9252716898918152,1.419252872467041,1.378541350364685,1.5967620611190796,0.22185872495174408,0.22181931138038635,0.23115843534469604,0.17229042947292328,0.15287311375141144
#5,11,13,middle,0.6689043641090393,0.752729058265686,1.4397308826446533,1.3756242990493774,1.499122977256775,0.22571077942848206,0.2247692346572876,0.23127728700637817,0.04226520285010338,0.2759774923324585
#5,12,14,middle,0.6723087430000305,1.006670355796814,1.3662142753601074,1.380918264389038,1.6005363464355469,0.21719107031822205,0.2170192301273346,0.22941330075263977,0.17143785953521729,0.1649385392665863
#5,13,15,late,0.6714931726455688,0.9669021368026733,1.3917702436447144,1.3766822814941406,1.5984327793121338,0.22250443696975708,0.22126439213752747,0.22726255655288696,0.17015165090560913,0.15881697833538055
#5,14,16,late,0.6715666651725769,1.0483672618865967,1.3359439373016357,1.380488395690918,1.6027864217758179,0.21577879786491394,0.21392640471458435,0.22554442286491394,0.172590970993042,0.1721593737602234
#5,15,17,late,0.6690887808799744,0.9238176345825195,1.3989343643188477,1.3771125078201294,1.5963187217712402,0.2151947319507599,0.22394919395446777,0.23600849509239197,0.17199672758579254,0.15285080671310425
#5,16,18,late,0.6713159680366516,1.0321308374404907,1.3293430805206299,1.3811928033828735,1.6017177104949951,0.20694614946842194,0.2171112298965454,0.23302361369132996,0.17329652607440948,0.16962246596813202
#5,17,19,late,0.669075608253479,1.0313904285430908,1.3278305530548096,1.3812286853790283,1.60270357131958,0.20721779763698578,0.21439595520496368,0.23150527477264404,0.17622485756874084,0.17065609991550446
#5,18,20,late,0.6718922853469849,1.0273644924163818,1.3380944728851318,1.382595419883728,1.601647138595581,0.20794908702373505,0.21533693373203278,0.23387405276298523,0.1742967665195465,0.16854311525821686
#8,0,2,early,0.6717728972434998,0.9088664650917053,1.319706916809082,1.3765325546264648,1.5039674043655396,0.050074245780706406,0.20919914543628693,0.2939631938934326,0.19842565059661865,0.2483377456665039
#8,1,3,early,0.6689677834510803,0.8832870721817017,1.3439725637435913,1.3763588666915894,1.506332516670227,0.05294333025813103,0.21916212141513824,0.3007923364639282,0.1897173523902893,0.2373848557472229
#8,2,4,early,0.6696067452430725,0.8550766706466675,1.3621758222579956,1.375598669052124,1.5036778450012207,0.05016346275806427,0.2248380482196808,0.28843915462493896,0.18524353206157684,0.25131580233573914
#8,3,5,early,0.6686402559280396,0.9055088758468628,1.2700716257095337,1.3767621517181396,1.4748573303222656,0.03637954220175743,0.2242470532655716,0.3004704713821411,0.17798002064228058,0.260922908782959
#8,4,6,early,0.6686221957206726,0.9780739545822144,1.3442177772521973,1.3758782148361206,1.5736937522888184,0.17594753205776215,0.22186723351478577,0.2881631851196289,0.18765906989574432,0.12636297941207886
#8,5,7,early,0.6692706942558289,0.8449127078056335,1.3527212142944336,1.3772141933441162,1.4974323511123657,0.046657122671604156,0.22423040866851807,0.2827320992946625,0.18259654939174652,0.2637838125228882
#8,6,8,early,0.6644126176834106,0.8931707143783569,1.2775969505310059,1.3731586933135986,1.4728734493255615,0.03696996718645096,0.23190557956695557,0.31305986642837524,0.17396393418312073,0.2441006302833557
#8,7,9,middle,0.6662532091140747,0.8749207258224487,1.3229211568832397,1.374835729598999,1.4860217571258545,0.04153462499380112,0.2280200868844986,0.29988306760787964,0.1805543601512909,0.25000789761543274
#8,8,10,middle,0.6649580597877502,0.9116097688674927,1.2559535503387451,1.3742210865020752,1.4706673622131348,0.03593048080801964,0.22847850620746613,0.3159474730491638,0.17608079314231873,0.243562713265419
#8,9,11,middle,0.6644138097763062,0.907132625579834,1.2411308288574219,1.3714439868927002,1.4609835147857666,0.03170811012387276,0.2337060570716858,0.31564033031463623,0.17116764187812805,0.24777789413928986
#8,10,12,middle,0.6674820780754089,0.9914575219154358,1.3379709720611572,1.375821828842163,1.5701181888580322,0.1754952073097229,0.22193199396133423,0.29278564453125,0.1871165931224823,0.12267053127288818
#8,11,13,middle,0.6638392806053162,1.0787508487701416,1.2898766994476318,1.372448205947876,1.5469439029693604,0.17651861906051636,0.23361311852931976,0.31348544359207153,0.17426961660385132,0.10211320966482162
#8,12,14,middle,0.6674219965934753,1.0100940465927124,1.3357176780700684,1.3776202201843262,1.5747870206832886,0.1790519803762436,0.2233051210641861,0.2869746685028076,0.182418093085289,0.12825018167495728
#8,13,15,late,0.6639550924301147,0.8955284357070923,1.260239839553833,1.3707833290100098,1.4664180278778076,0.0347350612282753,0.2358662337064743,0.3158981204032898,0.16936694085597992,0.24413366615772247
#8,14,16,late,0.6638764142990112,0.908365786075592,1.2531095743179321,1.3708934783935547,1.467147946357727,0.03523991256952286,0.23494762182235718,0.3193594813346863,0.17144650220870972,0.23900648951530457
#8,15,17,late,0.6684679388999939,0.9988647699356079,1.340997338294983,1.3787379264831543,1.5813244581222534,0.18380068242549896,0.22367092967033386,0.2774767279624939,0.179154172539711,0.13589751720428467
#8,16,18,late,0.6655450463294983,1.0915932655334473,1.2925338745117188,1.374455213546753,1.5665987730026245,0.17424112558364868,0.229261577129364,0.2968737483024597,0.17674577236175537,0.12287779897451401
#8,17,19,late,0.6658377647399902,1.0155141353607178,1.32766592502594,1.3753340244293213,1.560817837715149,0.1772083044052124,0.22640682756900787,0.30159497261047363,0.1817203313112259,0.11306953430175781
#8,18,20,late,0.6640807390213013,1.1153467893600464,1.2634416818618774,1.3711007833480835,1.5468287467956543,0.17222046852111816,0.23417185246944427,0.3153155446052551,0.17402854561805725,0.10426363348960876
#11,0,2,early,0.6844825148582458,1.295588731765747,1.2507433891296387,1.3411500453948975,1.588348388671875,0.1328604817390442,0.1775304228067398,0.22832386195659637,0.24231432378292084,0.2189708799123764
#11,1,3,early,0.6792285442352295,1.183612585067749,1.290590524673462,1.36350679397583,1.5695405006408691,0.10218901932239532,0.1915881484746933,0.22714093327522278,0.2211402803659439,0.2579416334629059
#11,2,4,early,0.6758123636245728,1.0897507667541504,1.3340401649475098,1.3751943111419678,1.589760184288025,0.12865574657917023,0.20570212602615356,0.22768260538578033,0.2012743055820465,0.23668520152568817
#11,3,5,early,0.6731299757957458,1.0795788764953613,1.3662258386611938,1.3696523904800415,1.5788973569869995,0.2399032562971115,0.21242935955524445,0.23426054418087006,0.20237956941127777,0.11102727055549622
#11,4,6,early,0.6765294671058655,1.137614369392395,1.3048748970031738,1.3693722486495972,1.6010829210281372,0.20639730989933014,0.20331507921218872,0.22959691286087036,0.20761433243751526,0.1530763804912567
#11,5,7,early,0.6749424338340759,1.1460566520690918,1.2949634790420532,1.3658599853515625,1.6021435260772705,0.1990286409854889,0.19781486690044403,0.22992919385433197,0.21464970707893372,0.15857760608196259
#11,6,8,early,0.6727109551429749,0.9129063487052917,1.3308418989181519,1.372232437133789,1.588561773300171,0.14939212799072266,0.21888789534568787,0.2686569392681122,0.19194932281970978,0.17111368477344513
#11,7,9,middle,0.6739896535873413,1.0749051570892334,1.2427414655685425,1.3731005191802979,1.5969383716583252,0.162920743227005,0.19979225099086761,0.25570693612098694,0.20636498928070068,0.17521508038043976
#11,8,10,middle,0.6730892658233643,1.0069098472595215,1.2988417148590088,1.375272274017334,1.5883467197418213,0.16919632256031036,0.21585588157176971,0.2709723114967346,0.19283029437065125,0.15114521980285645
#11,9,11,middle,0.6740186214447021,1.07094407081604,1.236985683441162,1.3773956298828125,1.5976094007492065,0.16707363724708557,0.20800380408763885,0.25537413358688354,0.1949944943189621,0.17455388605594635
#11,10,12,middle,0.674182116985321,1.1394108533859253,1.2167165279388428,1.3775458335876465,1.6014702320098877,0.16934311389923096,0.19861556589603424,0.24613285064697266,0.20028826594352722,0.18562021851539612
#11,11,13,middle,0.6743825674057007,1.0974284410476685,1.2397148609161377,1.3776788711547852,1.6000378131866455,0.17022950947284698,0.20061910152435303,0.2504396438598633,0.20004084706306458,0.17867091298103333
#11,12,14,middle,0.6706652641296387,1.0135242938995361,1.2887688875198364,1.3778376579284668,1.5921730995178223,0.17126372456550598,0.2112184464931488,0.2664085626602173,0.19277919828891754,0.1583300530910492
#11,13,15,late,0.6761689782142639,1.068251609802246,1.2484171390533447,1.379224181175232,1.5987673997879028,0.17514321208000183,0.21402668952941895,0.2517012059688568,0.18616244196891785,0.17296648025512695
#11,14,16,late,0.6740479469299316,1.0294299125671387,1.2657546997070312,1.376894474029541,1.5961918830871582,0.16936095058918,0.20757083594799042,0.258602499961853,0.1966933310031891,0.16777241230010986
#11,15,17,late,0.6754977703094482,1.0403088331222534,1.2784106731414795,1.3802496194839478,1.5988619327545166,0.17985063791275024,0.21153956651687622,0.25202369689941406,0.18779484927654266,0.168791264295578
#11,16,18,late,0.6740291118621826,1.0329084396362305,1.2819911241531372,1.3780927658081055,1.5926998853683472,0.17542167007923126,0.2194308042526245,0.26277777552604675,0.1837432086467743,0.15862654149532318
#11,17,19,late,0.6710504293441772,0.9488658905029297,1.3494274616241455,1.3815044164657593,1.5946848392486572,0.19702991843223572,0.221883624792099,0.2522370219230652,0.17383973300457,0.1550096571445465
#11,18,20,late,0.67099928855896,1.0858335494995117,1.2558071613311768,1.3837616443634033,1.6022765636444092,0.18842482566833496,0.2113427370786667,0.24237260222434998,0.17923976480960846,0.17862002551555634
#12,0,2,early,0.6802259683609009,1.1895899772644043,1.3017473220825195,1.364331841468811,1.5912940502166748,0.1310257613658905,0.19650161266326904,0.2295689582824707,0.21409554779529572,0.22880810499191284
#12,1,3,early,0.6769236326217651,1.1112422943115234,1.3313157558441162,1.3750215768814087,1.5926252603530884,0.1345064640045166,0.20838500559329987,0.22816172242164612,0.19603824615478516,0.23290857672691345
#12,2,4,early,0.6804042458534241,1.1750777959823608,1.3060438632965088,1.367561936378479,1.5958819389343262,0.22060677409172058,0.2027026265859604,0.23010152578353882,0.20704473555088043,0.1395443230867386
#12,3,5,early,0.6777521967887878,1.1293600797653198,1.2321040630340576,1.3793115615844727,1.6073251962661743,0.19993336498737335,0.20009121298789978,0.22252023220062256,0.19548830389976501,0.1819669008255005
#12,4,6,early,0.674006998538971,1.1292998790740967,1.2589517831802368,1.3745940923690796,1.6051589250564575,0.17315389215946198,0.2121625542640686,0.2270982563495636,0.1899709850549698,0.19761434197425842
#12,5,7,early,0.6793125867843628,1.1583421230316162,1.2957607507705688,1.3710042238235474,1.55918550491333,0.09195054322481155,0.2048158198595047,0.2281978577375412,0.20290625095367432,0.27212947607040405
#12,6,8,early,0.6789625287055969,1.1452796459197998,1.3243141174316406,1.3716752529144287,1.5906028747558594,0.23330658674240112,0.20802107453346252,0.22957749664783478,0.19899719953536987,0.1300976425409317
#12,7,9,middle,0.6800337433815002,1.149162769317627,1.3198883533477783,1.3724230527877808,1.588287353515625,0.23956046998500824,0.20568259060382843,0.2295633852481842,0.1981370896100998,0.12705644965171814
#12,8,10,middle,0.6763580441474915,1.1157747507095337,1.3430403470993042,1.3716081380844116,1.586124062538147,0.2396947592496872,0.20444464683532715,0.23081381618976593,0.20222069323062897,0.12282608449459076
#12,9,11,middle,0.6796476244926453,1.1282265186309814,1.3142361640930176,1.3703314065933228,1.5956099033355713,0.2272094488143921,0.19520814716815948,0.23054471611976624,0.20596706867218018,0.14107061922550201
#12,10,12,middle,0.6797763705253601,1.172952651977539,1.2991735935211182,1.3675073385238647,1.5968453884124756,0.22164520621299744,0.19628086686134338,0.23003436625003815,0.20916533470153809,0.14287421107292175
#12,11,13,middle,0.6775001883506775,1.0959055423736572,1.344740867614746,1.376082420349121,1.5898802280426025,0.23757246136665344,0.20935285091400146,0.22889573872089386,0.1940242499113083,0.13015469908714294
#12,12,14,middle,0.6756798028945923,1.0747954845428467,1.3537688255310059,1.3765966892242432,1.5916392803192139,0.2329554408788681,0.21188826858997345,0.22907298803329468,0.19307278096675873,0.13301053643226624
#12,13,15,late,0.6791151762008667,1.1396065950393677,1.2885539531707764,1.3741283416748047,1.6016799211502075,0.2169850766658783,0.1984778344631195,0.22747352719306946,0.20107011497020721,0.15599346160888672
#12,14,16,late,0.6748226284980774,1.0912162065505981,1.275688886642456,1.3792939186096191,1.6056360006332397,0.20752327144145966,0.2033086121082306,0.22390535473823547,0.19398289918899536,0.17127986252307892
#12,15,17,late,0.6794435381889343,1.1542593240737915,1.2667542695999146,1.3752059936523438,1.6039553880691528,0.21104088425636292,0.20192453265190125,0.2255997359752655,0.19812558591365814,0.16330929100513458
#12,16,18,late,0.6769180297851562,1.1009314060211182,1.3094961643218994,1.3774305582046509,1.6012715101242065,0.21783453226089478,0.20632857084274292,0.22641049325466156,0.19465845823287964,0.1547679454088211
#12,17,19,late,0.6781779527664185,1.1314184665679932,1.3028171062469482,1.3745325803756714,1.6004551649093628,0.21803101897239685,0.20307737588882446,0.2274947613477707,0.19966979324817657,0.1517270803451538
#12,18,20,late,0.6787477731704712,1.1450636386871338,1.2876309156417847,1.3745453357696533,1.6015911102294922,0.21731512248516083,0.20047245919704437,0.22684207558631897,0.19997668266296387,0.15539368987083435
